record_type	query_ordinal_namespace	query_source_ordinal	target_ordinal_namespace	target_source_ordinal	query_id	target_id	query_sha256	target_sha256	query_region	target_region	pair_digest	source_receipt_path	exclusion_reason
pair	phase2_holdout_role_ordinal	8	phase2_holdout_role_ordinal	1	hq08	ht01	2a74328fdc8216b2dc1fbd01b3fc524b48777dee56eec9decde3c33c3820d451	7b789e19134114e831f6afb8f7ce4a3502fd3158fe723ab26a22c948538c67c0	full	full	54346bdad09830806e70e03ab3b88a13bb383911a3eb241cdc59c7a81be8e9fe	paper/bioinformatics/holdout_manifest.tsv	canonical_hybrid_v2_regression;phase2_correctness_holdout
pair	phase2_holdout_role_ordinal	8	phase2_holdout_role_ordinal	2	hq08	ht02	2a74328fdc8216b2dc1fbd01b3fc524b48777dee56eec9decde3c33c3820d451	dd5cf8216eb638d071cd03bd9adc122c15ee07ea696b87724b240022829e4fd9	full	full	aadcbbdd1129ca5aa7a801bba0bccb92349e3cbd65e07e7ae92793a80970bb2e	paper/bioinformatics/holdout_manifest.tsv	canonical_hybrid_v2_regression;phase2_correctness_holdout
pair	phase3_application_role_ordinal	10	phase3_application_role_ordinal	18	aq010	at0018	2d07dac2e1f026644270254400984267aed9aa25a74cc90d2cedfbc7a0eb839c	2fe2f0ccd0808778a2699709160f2dba14b8f912d6d1851fa6c66ab3dc0da2c2	full	full	905db5c0578c5f8171a04b29c4205d1b891dc64f3ab4dc2ac830d400731e9e61	paper/bioinformatics/canonical_hybrid_v2_holdout_workloads.tsv	canonical_hybrid_v2_fresh_holdout
pair	phase3_application_role_ordinal	10	phase3_application_role_ordinal	195	aq010	at0195	2d07dac2e1f026644270254400984267aed9aa25a74cc90d2cedfbc7a0eb839c	8c12c883ba773e1d6290eef5baa7f13d2a5bca6bd909caf6e971e0201cb860f2	full	full	b18f52d9a177e4085e08f969c953e4c8393e471354c11a42e6c9e8cd5cb95d8b	paper/bioinformatics/canonical_hybrid_v2_holdout_workloads.tsv	canonical_hybrid_v2_fresh_holdout
pair	phase3_application_role_ordinal	10	phase3_application_role_ordinal	652	aq010	at0652	2d07dac2e1f026644270254400984267aed9aa25a74cc90d2cedfbc7a0eb839c	e1d6e517851f9f88fe22a1995aaaac5b667423bdba3b4478911e2595dd26538c	full	full	0109a752333147df0d4d6011b9be7813351a5a35972efe3a453c7eb0734cdb51	paper/bioinformatics/canonical_hybrid_v2_holdout_workloads.tsv	canonical_hybrid_v2_fresh_holdout
pair	phase3_application_role_ordinal	10	phase3_application_role_ordinal	260	aq010	at0260	2d07dac2e1f026644270254400984267aed9aa25a74cc90d2cedfbc7a0eb839c	e4dd2ecb30026c7cccf72b245c30cec49ebfb006b5a3f2b7ce447b34dacd80e1	full	full	4dbb357d39f0f42fe610d80f9294b51edb4c42970cf3b307041237d259c6e7fd	paper/bioinformatics/canonical_hybrid_v2_holdout_workloads.tsv	canonical_hybrid_v2_fresh_holdout
pair	phase2_holdout_role_ordinal	4	phase2_holdout_role_ordinal	1	hq04	ht01	37c8ac7388c1884d7329e6f1fb9eace2240da2c41d9d4c5087117b0ad4023931	7b789e19134114e831f6afb8f7ce4a3502fd3158fe723ab26a22c948538c67c0	full	full	87d49321ec6ca996d34c2d958e16be4e1f6ab21fe4f2a7d69da4d0df2212ab53	paper/bioinformatics/holdout_manifest.tsv	canonical_hybrid_v2_regression;phase2_correctness_holdout
pair	phase2_holdout_role_ordinal	4	phase2_holdout_role_ordinal	2	hq04	ht02	37c8ac7388c1884d7329e6f1fb9eace2240da2c41d9d4c5087117b0ad4023931	dd5cf8216eb638d071cd03bd9adc122c15ee07ea696b87724b240022829e4fd9	full	full	ba88d6b65452cb9e8da7de79497e43fde3dc28a0f1552e8654762aac91873aa4	paper/bioinformatics/holdout_manifest.tsv	canonical_hybrid_v2_regression;phase2_correctness_holdout
pair	phase2_holdout_role_ordinal	2	phase2_holdout_role_ordinal	1	hq02	ht01	3833a3d93d592572ba6dc1c9971182e23d0ddbd87920804db58b1fdff340903c	7b789e19134114e831f6afb8f7ce4a3502fd3158fe723ab26a22c948538c67c0	full	full	f48f2c673c0491bc0127f8201af52ed37f9ac8c87334d233728636f89f8e5536	paper/bioinformatics/holdout_manifest.tsv	canonical_hybrid_v2_regression;phase2_correctness_holdout
pair	phase2_holdout_role_ordinal	2	phase2_holdout_role_ordinal	2	hq02	ht02	3833a3d93d592572ba6dc1c9971182e23d0ddbd87920804db58b1fdff340903c	dd5cf8216eb638d071cd03bd9adc122c15ee07ea696b87724b240022829e4fd9	full	full	b4fd38d404eeff39513b4b5902380009cac4b9db9f81537fd05ec386c82242d4	paper/bioinformatics/holdout_manifest.tsv	canonical_hybrid_v2_regression;phase2_correctness_holdout
pair	phase3_application_role_ordinal	7	phase3_application_role_ordinal	18	aq007	at0018	3924bf5bbd87f45ec0ed8b57f01d4266c46d77efdf9db827f9c39af3ad1a5cd9	2fe2f0ccd0808778a2699709160f2dba14b8f912d6d1851fa6c66ab3dc0da2c2	full	full	cf88925a4348ae0b9939510b609eadda8e80bfde82f0419e1c7d6edbea4cabf4	paper/bioinformatics/canonical_hybrid_v2_holdout_workloads.tsv	canonical_hybrid_v2_fresh_holdout
pair	phase3_application_role_ordinal	7	phase3_application_role_ordinal	195	aq007	at0195	3924bf5bbd87f45ec0ed8b57f01d4266c46d77efdf9db827f9c39af3ad1a5cd9	8c12c883ba773e1d6290eef5baa7f13d2a5bca6bd909caf6e971e0201cb860f2	full	full	de9c5a1a4950ebef715a1e58e577f42267f5100b2589f25b92f662e12e8e2a78	paper/bioinformatics/canonical_hybrid_v2_holdout_workloads.tsv	canonical_hybrid_v2_fresh_holdout
pair	phase3_application_role_ordinal	7	phase3_application_role_ordinal	652	aq007	at0652	3924bf5bbd87f45ec0ed8b57f01d4266c46d77efdf9db827f9c39af3ad1a5cd9	e1d6e517851f9f88fe22a1995aaaac5b667423bdba3b4478911e2595dd26538c	full	full	1d08da9ffa4379251e9c5366b3f25c7223370e9aaaad82b2d0cd1a938efc4c9a	paper/bioinformatics/canonical_hybrid_v2_holdout_workloads.tsv	canonical_hybrid_v2_fresh_holdout
pair	phase3_application_role_ordinal	7	phase3_application_role_ordinal	260	aq007	at0260	3924bf5bbd87f45ec0ed8b57f01d4266c46d77efdf9db827f9c39af3ad1a5cd9	e4dd2ecb30026c7cccf72b245c30cec49ebfb006b5a3f2b7ce447b34dacd80e1	full	full	d2b0c30815120a62a8d0ff125b7dee716a4f1f076df947db8099468b9f60076c	paper/bioinformatics/canonical_hybrid_v2_holdout_workloads.tsv	canonical_hybrid_v2_fresh_holdout
pair	phase3_application_role_ordinal	32	phase3_application_role_ordinal	18	aq032	at0018	4e6aa19a8e2bf45662e3a42f71b83dbe2a64a12bbf3e0ea9ad45889b53228bcb	2fe2f0ccd0808778a2699709160f2dba14b8f912d6d1851fa6c66ab3dc0da2c2	full	full	88ab6ff6f7b23d9a020ae31db876ef7f7240705026ff7b1fe34a44af535fd900	paper/bioinformatics/canonical_hybrid_v2_holdout_workloads.tsv	canonical_hybrid_v2_fresh_holdout
pair	phase3_application_role_ordinal	32	phase3_application_role_ordinal	195	aq032	at0195	4e6aa19a8e2bf45662e3a42f71b83dbe2a64a12bbf3e0ea9ad45889b53228bcb	8c12c883ba773e1d6290eef5baa7f13d2a5bca6bd909caf6e971e0201cb860f2	full	full	00f926213892aedfe4924ce63a5acdbee2b5d59494aa524a43cea0d8fd161e52	paper/bioinformatics/canonical_hybrid_v2_holdout_workloads.tsv	canonical_hybrid_v2_fresh_holdout
pair	phase3_application_role_ordinal	32	phase3_application_role_ordinal	652	aq032	at0652	4e6aa19a8e2bf45662e3a42f71b83dbe2a64a12bbf3e0ea9ad45889b53228bcb	e1d6e517851f9f88fe22a1995aaaac5b667423bdba3b4478911e2595dd26538c	full	full	5e8cb0a6054c31ef4cf5d69d1cff5c268abe090632df9e544c574419b834fb9c	paper/bioinformatics/canonical_hybrid_v2_holdout_workloads.tsv	canonical_hybrid_v2_fresh_holdout
pair	phase3_application_role_ordinal	32	phase3_application_role_ordinal	260	aq032	at0260	4e6aa19a8e2bf45662e3a42f71b83dbe2a64a12bbf3e0ea9ad45889b53228bcb	e4dd2ecb30026c7cccf72b245c30cec49ebfb006b5a3f2b7ce447b34dacd80e1	full	full	3afde4106832e3dbbbc3a5dc8ac3c1b016a1dbf38a7ced249cb92fe02009e6a0	paper/bioinformatics/canonical_hybrid_v2_holdout_workloads.tsv	canonical_hybrid_v2_fresh_holdout
pair	phase2_holdout_role_ordinal	12	phase2_holdout_role_ordinal	1	hq12	ht01	53eb65cec21000bb70085a00ae734fb72d8614b7d64dd51eaa2cb55431085643	7b789e19134114e831f6afb8f7ce4a3502fd3158fe723ab26a22c948538c67c0	full	full	90d41eacfe2f7f77c898bbd3ea9aafa82e2185694ad70eed165fa6564c000b53	paper/bioinformatics/holdout_manifest.tsv	canonical_hybrid_v2_regression;phase2_correctness_holdout
pair	phase2_holdout_role_ordinal	12	phase2_holdout_role_ordinal	2	hq12	ht02	53eb65cec21000bb70085a00ae734fb72d8614b7d64dd51eaa2cb55431085643	dd5cf8216eb638d071cd03bd9adc122c15ee07ea696b87724b240022829e4fd9	full	full	f40442091d4ecdfcf5e827b708cce1b772e226af83300298a6d102822846c077	paper/bioinformatics/holdout_manifest.tsv	canonical_hybrid_v2_regression;phase2_correctness_holdout
pair	phase3_application_role_ordinal	15	phase3_application_role_ordinal	18	aq015	at0018	581a4b0990cb530031015db8c2a0c91dbd99b150aa5c699c7de8df7c32297214	2fe2f0ccd0808778a2699709160f2dba14b8f912d6d1851fa6c66ab3dc0da2c2	full	full	4f2d2bf6b64f0b24329cccc2f4c38121e64045c30b53ad5cc9586d0b4e0c7811	paper/bioinformatics/canonical_hybrid_v2_holdout_workloads.tsv	canonical_hybrid_v2_fresh_holdout
pair	phase3_application_role_ordinal	15	phase3_application_role_ordinal	195	aq015	at0195	581a4b0990cb530031015db8c2a0c91dbd99b150aa5c699c7de8df7c32297214	8c12c883ba773e1d6290eef5baa7f13d2a5bca6bd909caf6e971e0201cb860f2	full	full	7370d52c22a6b35cac503be0b871ac0a3eafd2637298c046e4e80d2eb1fd8df7	paper/bioinformatics/canonical_hybrid_v2_holdout_workloads.tsv	canonical_hybrid_v2_fresh_holdout
pair	phase3_application_role_ordinal	15	phase3_application_role_ordinal	652	aq015	at0652	581a4b0990cb530031015db8c2a0c91dbd99b150aa5c699c7de8df7c32297214	e1d6e517851f9f88fe22a1995aaaac5b667423bdba3b4478911e2595dd26538c	full	full	5f13d62ed0f97cd712e0e39fb5bc5cab61e93175616e83658a38f40d52d8a833	paper/bioinformatics/canonical_hybrid_v2_holdout_workloads.tsv	canonical_hybrid_v2_fresh_holdout
pair	phase3_application_role_ordinal	15	phase3_application_role_ordinal	260	aq015	at0260	581a4b0990cb530031015db8c2a0c91dbd99b150aa5c699c7de8df7c32297214	e4dd2ecb30026c7cccf72b245c30cec49ebfb006b5a3f2b7ce447b34dacd80e1	full	full	ae99217bc01a0adc6e0765827013aaa728268ea67faf81addb049100a2f585a6	paper/bioinformatics/canonical_hybrid_v2_holdout_workloads.tsv	canonical_hybrid_v2_fresh_holdout
pair	phase2_holdout_role_ordinal	6	phase2_holdout_role_ordinal	1	hq06	ht01	62f5e96b099c0be002a286e48c3052fc7e8d3e19788878d7ffd24851a2877b94	7b789e19134114e831f6afb8f7ce4a3502fd3158fe723ab26a22c948538c67c0	full	full	c5d27522a76eeb01f8cdedc6aa8da86f6e19edf768c51f1e194d13a60f9597f8	paper/bioinformatics/holdout_manifest.tsv	canonical_hybrid_v2_regression;phase2_correctness_holdout
pair	phase2_holdout_role_ordinal	6	phase2_holdout_role_ordinal	2	hq06	ht02	62f5e96b099c0be002a286e48c3052fc7e8d3e19788878d7ffd24851a2877b94	dd5cf8216eb638d071cd03bd9adc122c15ee07ea696b87724b240022829e4fd9	full	full	b5b8286013626e7b45497a9358b5745674757c81cbf2c3242c3020679f1ad17e	paper/bioinformatics/holdout_manifest.tsv	canonical_hybrid_v2_regression;phase2_correctness_holdout
pair	phase3_application_role_ordinal	38	phase3_application_role_ordinal	18	aq038	at0018	6a023206231290a6707f066bf8b57ca4183862caa7485d61644f5f86b8aaf528	2fe2f0ccd0808778a2699709160f2dba14b8f912d6d1851fa6c66ab3dc0da2c2	full	full	43b3e076ad2f7d2814f661d726726467ded5ef94d46b87a23816ea9b105b460e	paper/bioinformatics/canonical_hybrid_v2_holdout_workloads.tsv	canonical_hybrid_v2_fresh_holdout
pair	phase3_application_role_ordinal	38	phase3_application_role_ordinal	195	aq038	at0195	6a023206231290a6707f066bf8b57ca4183862caa7485d61644f5f86b8aaf528	8c12c883ba773e1d6290eef5baa7f13d2a5bca6bd909caf6e971e0201cb860f2	full	full	49af93faac1c2c1919e5b8d3d106bbb607a2eea6689e0731a96117303989a674	paper/bioinformatics/canonical_hybrid_v2_holdout_workloads.tsv	canonical_hybrid_v2_fresh_holdout
pair	phase3_application_role_ordinal	38	phase3_application_role_ordinal	652	aq038	at0652	6a023206231290a6707f066bf8b57ca4183862caa7485d61644f5f86b8aaf528	e1d6e517851f9f88fe22a1995aaaac5b667423bdba3b4478911e2595dd26538c	full	full	d7ecdeb64898d311a0bb50242af9f52e85b6d5688fe5c3d788f1b1e4fc85df72	paper/bioinformatics/canonical_hybrid_v2_holdout_workloads.tsv	canonical_hybrid_v2_fresh_holdout
pair	phase3_application_role_ordinal	38	phase3_application_role_ordinal	260	aq038	at0260	6a023206231290a6707f066bf8b57ca4183862caa7485d61644f5f86b8aaf528	e4dd2ecb30026c7cccf72b245c30cec49ebfb006b5a3f2b7ce447b34dacd80e1	full	full	9b9b4856d6b80c02939fd09b9f1922955b2b451669edd58c0faa89ffa10915b6	paper/bioinformatics/canonical_hybrid_v2_holdout_workloads.tsv	canonical_hybrid_v2_fresh_holdout
pair	phase3_application_role_ordinal	1	phase3_application_role_ordinal	1	aq001	at0001	7163c0799ec5a83c190214eb3392810faa6372a5f6f968517eb73f74f289009f	add605082b3b5425dd1eb55477f3b86185a4c69bf0dcd88e35357fcf54d30a5a	full	full	d6c6f9e6d68b6b1018ca70aaecc70d900a252da6b66606fc5aea4acd872d347c	paper/bioinformatics/application_pilot_receipt.json	phase3_v1_fixed_pilot
pair	phase2_holdout_role_ordinal	11	phase2_holdout_role_ordinal	1	hq11	ht01	746d6f71584aae394680e638d9651766dbeb06a1921aa885c1719f89ae29643f	7b789e19134114e831f6afb8f7ce4a3502fd3158fe723ab26a22c948538c67c0	full	full	11aa5c4eab8f9634e90847085f9d103cba0cda5a05ca4529721f4c77dff7627d	paper/bioinformatics/holdout_manifest.tsv	canonical_hybrid_v2_regression;phase2_correctness_holdout
pair	phase2_holdout_role_ordinal	11	phase2_holdout_role_ordinal	2	hq11	ht02	746d6f71584aae394680e638d9651766dbeb06a1921aa885c1719f89ae29643f	dd5cf8216eb638d071cd03bd9adc122c15ee07ea696b87724b240022829e4fd9	full	full	c8ce9881a7d3ae94d80df39cb633244f9758cca9027fd3217619f9408e7b8d69	paper/bioinformatics/holdout_manifest.tsv	canonical_hybrid_v2_regression;phase2_correctness_holdout;phase2_traceback_replay
pair	phase2_holdout_role_ordinal	5	phase2_holdout_role_ordinal	1	hq05	ht01	7bdb574d585d18e2f4bf5613a4c0ea9f23508841ff20898cb4366e4b4fa4681b	7b789e19134114e831f6afb8f7ce4a3502fd3158fe723ab26a22c948538c67c0	full	full	151f59016dc51c8d31e5f7b25c585cebd904c98254032e9b9641fa62afcc0330	paper/bioinformatics/holdout_manifest.tsv	canonical_hybrid_v2_regression;phase2_correctness_holdout
pair	phase2_holdout_role_ordinal	5	phase2_holdout_role_ordinal	2	hq05	ht02	7bdb574d585d18e2f4bf5613a4c0ea9f23508841ff20898cb4366e4b4fa4681b	dd5cf8216eb638d071cd03bd9adc122c15ee07ea696b87724b240022829e4fd9	full	full	81bf72d5308f0b89a8775edc9855c1914f658fb34f1f43e01b3c1ea26bd2c554	paper/bioinformatics/holdout_manifest.tsv	canonical_hybrid_v2_regression;phase2_correctness_holdout
pair	historical_workload_manifest	NA	historical_workload_manifest	NA	H19	chr1_full	7d94fb9515b0fa63dbe8fb62e01bb50616760ce80eeef29ec9c3893af8040f4e	04ee6db2e94ccc4daddc168453189d8c17a01454ba67ac0443a73a0401408ee0	0:2812	full	0cfb7f1b356990d0761f38836977a0d2db9d31bfb3fe051da4fae9f2d816ecd0	paper/workload_manifest.tsv	historical_development_or_paper_workload
pair	historical_workload_manifest	NA	historical_workload_manifest	NA	H19	chr21_chr22_full	7d94fb9515b0fa63dbe8fb62e01bb50616760ce80eeef29ec9c3893af8040f4e	101496c0ff86af1227b8923b5c7af6be2c0e0edabee86b260cd1a539f93359d6	0:2812	full	afdbf55030b73661086985ad554cf233c29ee59628a74b4e9409f191cd58f246	paper/workload_manifest.tsv	historical_development_or_paper_workload
pair	historical_workload_manifest	NA	historical_workload_manifest	NA	H19	chr21_full	7d94fb9515b0fa63dbe8fb62e01bb50616760ce80eeef29ec9c3893af8040f4e	35c71b68436d1a278ecb6a1e875af3ba4020738a028a7feac769a6d62790ae1f	0:2812	full	34aebac28daec9efda44d7fc4c4abd89b76aa2751415ee4592e4613abf5bc8e2	paper/workload_manifest.tsv	historical_development_or_paper_workload
pair	historical_workload_manifest	NA	historical_workload_manifest	NA	H19	chr21_center_2mb	7d94fb9515b0fa63dbe8fb62e01bb50616760ce80eeef29ec9c3893af8040f4e	35c71b68436d1a278ecb6a1e875af3ba4020738a028a7feac769a6d62790ae1f	0:2812	slice:22354991-24354991	6093f24e6bb964eaa04140a3f2cf48d2bbf599dd3b2836aa01146abdb238f02d	paper/workload_manifest.tsv	historical_development_or_paper_workload
pair	historical_workload_manifest	NA	historical_workload_manifest	NA	H19	chr11_center_2mb	7d94fb9515b0fa63dbe8fb62e01bb50616760ce80eeef29ec9c3893af8040f4e	5a45b92f2d9cbc494214203ea2c1b334c0b43dcacea3faf5909b86ccda1a57dd	0:2812	slice:66543311-68543311	e1aa90dd875f9b82c84cfeacb9cec17a84a3b6d635e317c7c2268729180e1a93	paper/workload_manifest.tsv	historical_development_or_paper_workload
pair	historical_workload_manifest	NA	historical_workload_manifest	NA	H19	chr22_full	7d94fb9515b0fa63dbe8fb62e01bb50616760ce80eeef29ec9c3893af8040f4e	ce3ee1ca39356238f7aee438a40a88b4f1b9d80b316b263e16fb12402212d10f	0:2812	full	9963c9a45c6ae913086156eb00ce438e18f57b257d6c7a1cf1ca3c96622e5f1e	paper/workload_manifest.tsv	historical_development_or_paper_workload
pair	historical_workload_manifest	NA	historical_workload_manifest	NA	H19	chr22_center_2mb	7d94fb9515b0fa63dbe8fb62e01bb50616760ce80eeef29ec9c3893af8040f4e	ce3ee1ca39356238f7aee438a40a88b4f1b9d80b316b263e16fb12402212d10f	0:2812	slice:24409234-26409234	dc40629f99ad55fd5f9b46b673eed9f154b6bca81681cb467b1bf721b3e69385	paper/workload_manifest.tsv	historical_development_or_paper_workload
pair	historical_workload_manifest	NA	historical_workload_manifest	NA	H19	chr22_10m_12m	7d94fb9515b0fa63dbe8fb62e01bb50616760ce80eeef29ec9c3893af8040f4e	e36fd5e349179420d36f7a2cca4503dbe1e82ad4d7eecb88afd421f0f23099ea	0:2812	full	6f615a27a3f5ab374fac755c3333ea957cca0db2c2e8c19e19ddfa996fcd8a28	paper/workload_manifest.tsv	historical_development_or_paper_workload
pair	phase2_holdout_role_ordinal	10	phase2_holdout_role_ordinal	1	hq10	ht01	8357751b729a35a43767ad520b6550dacdd7f0669a58a6d3014c4b10f4f1a362	7b789e19134114e831f6afb8f7ce4a3502fd3158fe723ab26a22c948538c67c0	full	full	6631079a426a41b8a1cf3f15c26d807f0e81893919dbe2e88bad95355b545efe	paper/bioinformatics/holdout_manifest.tsv	canonical_hybrid_v2_regression;phase2_correctness_holdout
pair	phase2_holdout_role_ordinal	10	phase2_holdout_role_ordinal	2	hq10	ht02	8357751b729a35a43767ad520b6550dacdd7f0669a58a6d3014c4b10f4f1a362	dd5cf8216eb638d071cd03bd9adc122c15ee07ea696b87724b240022829e4fd9	full	full	b47423ab540d3ef2acdbe41e434db20e62ea54b9adb9b51a7774209646232c00	paper/bioinformatics/holdout_manifest.tsv	canonical_hybrid_v2_regression;phase2_correctness_holdout;phase2_traceback_replay
pair	phase3_application_role_ordinal	33	phase3_application_role_ordinal	18	aq033	at0018	8a339029600f81e08c4c1c0652de1466837e863dee6aee2dcd0e3f2b3c40231e	2fe2f0ccd0808778a2699709160f2dba14b8f912d6d1851fa6c66ab3dc0da2c2	full	full	3ed0ca0f85d5293db869428298fe4c2a70b13f5641202d2cd3778500a5b68f66	paper/bioinformatics/canonical_hybrid_v2_holdout_workloads.tsv	canonical_hybrid_v2_fresh_holdout
pair	phase3_application_role_ordinal	33	phase3_application_role_ordinal	195	aq033	at0195	8a339029600f81e08c4c1c0652de1466837e863dee6aee2dcd0e3f2b3c40231e	8c12c883ba773e1d6290eef5baa7f13d2a5bca6bd909caf6e971e0201cb860f2	full	full	6d7af2dd606242f2d5cdf49737a388a068ff9fa82e6053a90868e758cfeaff20	paper/bioinformatics/canonical_hybrid_v2_holdout_workloads.tsv	canonical_hybrid_v2_fresh_holdout
