attempt_id	case_id	repeat_id	trace_mode	returncode	timed_out	elapsed_seconds	output_path	output_size_bytes	output_sha256	expected_output_sha256	output_equal_expected	paired_output_equal	stdout_sha256	normalized_stdout_sha256	stderr_sha256	trace_file_count	prealign_trace_sha256	mismatch_call_trace_sha256	artifact_receipt
hq11_ht02__repeat00__trace_off	hq11_ht02	0	trace_off	0	0	0.193025014	.paper-artifacts/ssw-cuda-v1/phase2/formal/hq11_ht02/repeat00/trace_off/output/GRCh38-ENST00000667017.2|ENSG00000255857.9|PXN-AS1|GENCODE v49|GRCh38-ht02_ENSG00000198722_chr9_35159829_35162329-TFOsorted	3805	394fe813c2e10d9340165d371255a8a54bf493e3c9da90d57db4e99dfd72cd82	394fe813c2e10d9340165d371255a8a54bf493e3c9da90d57db4e99dfd72cd82	1	1	7773029b12551c6c356cdd8c297294ca5ce213364073f08db050a4070b0c41bb	ac5c8e3fdfeba6ecdb7e377be9678969294aed708c83aa2bd614c6319c683aa7	098af78fb951f2338c8863f6c40917a7810559e507a897b23fc46ff0e221ed71	0			.paper-artifacts/ssw-cuda-v1/phase2/formal/hq11_ht02/repeat00/trace_off/attempt.json
hq11_ht02__repeat00__trace_on	hq11_ht02	0	trace_on	0	0	0.232979300	.paper-artifacts/ssw-cuda-v1/phase2/formal/hq11_ht02/repeat00/trace_on/output/GRCh38-ENST00000667017.2|ENSG00000255857.9|PXN-AS1|GENCODE v49|GRCh38-ht02_ENSG00000198722_chr9_35159829_35162329-TFOsorted	3805	394fe813c2e10d9340165d371255a8a54bf493e3c9da90d57db4e99dfd72cd82	394fe813c2e10d9340165d371255a8a54bf493e3c9da90d57db4e99dfd72cd82	1	1	e3b78114f71ef6ce066ffc6fda5bb0b010eb13ac76738757e38fe3361c5b4545	ac5c8e3fdfeba6ecdb7e377be9678969294aed708c83aa2bd614c6319c683aa7	098af78fb951f2338c8863f6c40917a7810559e507a897b23fc46ff0e221ed71	2	b5b12bcdca81146729c0dcaa6f22c2ba1aba00c3b267972aa65016966b38ddeb	f442a1f57744239f63f110fd3a12315548b0b578945d9a1b8aae19f5e441e2f2	.paper-artifacts/ssw-cuda-v1/phase2/formal/hq11_ht02/repeat00/trace_on/attempt.json
hq11_ht02__repeat01__trace_off	hq11_ht02	1	trace_off	0	0	0.182688953	.paper-artifacts/ssw-cuda-v1/phase2/formal/hq11_ht02/repeat01/trace_off/output/GRCh38-ENST00000667017.2|ENSG00000255857.9|PXN-AS1|GENCODE v49|GRCh38-ht02_ENSG00000198722_chr9_35159829_35162329-TFOsorted	3805	394fe813c2e10d9340165d371255a8a54bf493e3c9da90d57db4e99dfd72cd82	394fe813c2e10d9340165d371255a8a54bf493e3c9da90d57db4e99dfd72cd82	1	1	c4e41f25bbae9774b6063eb1ee19d30383a007ddad18a3b60e657be12dff0a01	ac5c8e3fdfeba6ecdb7e377be9678969294aed708c83aa2bd614c6319c683aa7	098af78fb951f2338c8863f6c40917a7810559e507a897b23fc46ff0e221ed71	0			.paper-artifacts/ssw-cuda-v1/phase2/formal/hq11_ht02/repeat01/trace_off/attempt.json
hq11_ht02__repeat01__trace_on	hq11_ht02	1	trace_on	0	0	0.237319462	.paper-artifacts/ssw-cuda-v1/phase2/formal/hq11_ht02/repeat01/trace_on/output/GRCh38-ENST00000667017.2|ENSG00000255857.9|PXN-AS1|GENCODE v49|GRCh38-ht02_ENSG00000198722_chr9_35159829_35162329-TFOsorted	3805	394fe813c2e10d9340165d371255a8a54bf493e3c9da90d57db4e99dfd72cd82	394fe813c2e10d9340165d371255a8a54bf493e3c9da90d57db4e99dfd72cd82	1	1	da524e898c46eef8ca7ff3d81ecbf367f10e694dead64ac00da602260650881c	ac5c8e3fdfeba6ecdb7e377be9678969294aed708c83aa2bd614c6319c683aa7	098af78fb951f2338c8863f6c40917a7810559e507a897b23fc46ff0e221ed71	2	b5b12bcdca81146729c0dcaa6f22c2ba1aba00c3b267972aa65016966b38ddeb	f442a1f57744239f63f110fd3a12315548b0b578945d9a1b8aae19f5e441e2f2	.paper-artifacts/ssw-cuda-v1/phase2/formal/hq11_ht02/repeat01/trace_on/attempt.json
hq11_ht02__repeat02__trace_off	hq11_ht02	2	trace_off	0	0	0.186960547	.paper-artifacts/ssw-cuda-v1/phase2/formal/hq11_ht02/repeat02/trace_off/output/GRCh38-ENST00000667017.2|ENSG00000255857.9|PXN-AS1|GENCODE v49|GRCh38-ht02_ENSG00000198722_chr9_35159829_35162329-TFOsorted	3805	394fe813c2e10d9340165d371255a8a54bf493e3c9da90d57db4e99dfd72cd82	394fe813c2e10d9340165d371255a8a54bf493e3c9da90d57db4e99dfd72cd82	1	1	e01d4389892736a8b016a6f2d7d42f76f018630506378aeaa6c60473c892fe7b	ac5c8e3fdfeba6ecdb7e377be9678969294aed708c83aa2bd614c6319c683aa7	098af78fb951f2338c8863f6c40917a7810559e507a897b23fc46ff0e221ed71	0			.paper-artifacts/ssw-cuda-v1/phase2/formal/hq11_ht02/repeat02/trace_off/attempt.json
hq11_ht02__repeat02__trace_on	hq11_ht02	2	trace_on	0	0	0.226333095	.paper-artifacts/ssw-cuda-v1/phase2/formal/hq11_ht02/repeat02/trace_on/output/GRCh38-ENST00000667017.2|ENSG00000255857.9|PXN-AS1|GENCODE v49|GRCh38-ht02_ENSG00000198722_chr9_35159829_35162329-TFOsorted	3805	394fe813c2e10d9340165d371255a8a54bf493e3c9da90d57db4e99dfd72cd82	394fe813c2e10d9340165d371255a8a54bf493e3c9da90d57db4e99dfd72cd82	1	1	b3eced6704009f4383dc45eac5fe2a1af5ce4f6255b81663162396de38919be6	ac5c8e3fdfeba6ecdb7e377be9678969294aed708c83aa2bd614c6319c683aa7	098af78fb951f2338c8863f6c40917a7810559e507a897b23fc46ff0e221ed71	2	b5b12bcdca81146729c0dcaa6f22c2ba1aba00c3b267972aa65016966b38ddeb	f442a1f57744239f63f110fd3a12315548b0b578945d9a1b8aae19f5e441e2f2	.paper-artifacts/ssw-cuda-v1/phase2/formal/hq11_ht02/repeat02/trace_on/attempt.json
hq11_ht02__repeat03__trace_off	hq11_ht02	3	trace_off	0	0	0.170186051	.paper-artifacts/ssw-cuda-v1/phase2/formal/hq11_ht02/repeat03/trace_off/output/GRCh38-ENST00000667017.2|ENSG00000255857.9|PXN-AS1|GENCODE v49|GRCh38-ht02_ENSG00000198722_chr9_35159829_35162329-TFOsorted	3805	394fe813c2e10d9340165d371255a8a54bf493e3c9da90d57db4e99dfd72cd82	394fe813c2e10d9340165d371255a8a54bf493e3c9da90d57db4e99dfd72cd82	1	1	bc8d76f204d51bbe8d61708493cd169523d6a74e179a3d158d39e5757175110e	ac5c8e3fdfeba6ecdb7e377be9678969294aed708c83aa2bd614c6319c683aa7	098af78fb951f2338c8863f6c40917a7810559e507a897b23fc46ff0e221ed71	0			.paper-artifacts/ssw-cuda-v1/phase2/formal/hq11_ht02/repeat03/trace_off/attempt.json
hq11_ht02__repeat03__trace_on	hq11_ht02	3	trace_on	0	0	0.221243372	.paper-artifacts/ssw-cuda-v1/phase2/formal/hq11_ht02/repeat03/trace_on/output/GRCh38-ENST00000667017.2|ENSG00000255857.9|PXN-AS1|GENCODE v49|GRCh38-ht02_ENSG00000198722_chr9_35159829_35162329-TFOsorted	3805	394fe813c2e10d9340165d371255a8a54bf493e3c9da90d57db4e99dfd72cd82	394fe813c2e10d9340165d371255a8a54bf493e3c9da90d57db4e99dfd72cd82	1	1	4430ff8fdcefe179313e8930a762a086d3bfbcd980bf4d9bae183afa24e4f01e	ac5c8e3fdfeba6ecdb7e377be9678969294aed708c83aa2bd614c6319c683aa7	098af78fb951f2338c8863f6c40917a7810559e507a897b23fc46ff0e221ed71	2	b5b12bcdca81146729c0dcaa6f22c2ba1aba00c3b267972aa65016966b38ddeb	f442a1f57744239f63f110fd3a12315548b0b578945d9a1b8aae19f5e441e2f2	.paper-artifacts/ssw-cuda-v1/phase2/formal/hq11_ht02/repeat03/trace_on/attempt.json
hq11_ht02__repeat04__trace_off	hq11_ht02	4	trace_off	0	0	0.172992708	.paper-artifacts/ssw-cuda-v1/phase2/formal/hq11_ht02/repeat04/trace_off/output/GRCh38-ENST00000667017.2|ENSG00000255857.9|PXN-AS1|GENCODE v49|GRCh38-ht02_ENSG00000198722_chr9_35159829_35162329-TFOsorted	3805	394fe813c2e10d9340165d371255a8a54bf493e3c9da90d57db4e99dfd72cd82	394fe813c2e10d9340165d371255a8a54bf493e3c9da90d57db4e99dfd72cd82	1	1	f937b1d5e1e9121dab824989e84ab7f62fbbead69ac614e5980286b5b98e12ce	ac5c8e3fdfeba6ecdb7e377be9678969294aed708c83aa2bd614c6319c683aa7	098af78fb951f2338c8863f6c40917a7810559e507a897b23fc46ff0e221ed71	0			.paper-artifacts/ssw-cuda-v1/phase2/formal/hq11_ht02/repeat04/trace_off/attempt.json
hq11_ht02__repeat04__trace_on	hq11_ht02	4	trace_on	0	0	0.211268112	.paper-artifacts/ssw-cuda-v1/phase2/formal/hq11_ht02/repeat04/trace_on/output/GRCh38-ENST00000667017.2|ENSG00000255857.9|PXN-AS1|GENCODE v49|GRCh38-ht02_ENSG00000198722_chr9_35159829_35162329-TFOsorted	3805	394fe813c2e10d9340165d371255a8a54bf493e3c9da90d57db4e99dfd72cd82	394fe813c2e10d9340165d371255a8a54bf493e3c9da90d57db4e99dfd72cd82	1	1	e4e54a4165ff16c0e3d6042b619e286cea748b85e0f725bd0f018213cc5ec5b9	ac5c8e3fdfeba6ecdb7e377be9678969294aed708c83aa2bd614c6319c683aa7	098af78fb951f2338c8863f6c40917a7810559e507a897b23fc46ff0e221ed71	2	b5b12bcdca81146729c0dcaa6f22c2ba1aba00c3b267972aa65016966b38ddeb	f442a1f57744239f63f110fd3a12315548b0b578945d9a1b8aae19f5e441e2f2	.paper-artifacts/ssw-cuda-v1/phase2/formal/hq11_ht02/repeat04/trace_on/attempt.json
