dataset_id	outer_lncRNA_id	region_id	label	target_chromosome	arm	region_score	valid_row_count
bte_hotair_gse31332	lncrna_hotair	bt5_079fdc777da66faa15b9890a	0	chr1	A	134	11
bte_hotair_gse31332	lncrna_hotair	bt5_07cb38d3a108473e7c60991b	0	chr14	A	120	10
bte_hotair_gse31332	lncrna_hotair	bt5_081bad00849ef664fe64d88a	0	chr5	A	83	2
bte_hotair_gse31332	lncrna_hotair	bt5_08815db743f791fd12443e33	1	chr11	A	163	40
bte_hotair_gse31332	lncrna_hotair	bt5_08d3af39a6b402d56d338b5e	0	chr17	A	129	22
bte_hotair_gse31332	lncrna_hotair	bt5_08ea5c4d95930ab42f987ae6	0	chr4	A	-1	0
bte_hotair_gse31332	lncrna_hotair	bt5_095130a9893ffbb4780053b8	0	chr11	A	121	6
bte_hotair_gse31332	lncrna_hotair	bt5_0976d91f43be481df8ee1bce	0	chr7	A	137	16
bte_hotair_gse31332	lncrna_hotair	bt5_09c9f4c50952866980adfaeb	0	chr11	A	111	5
bte_hotair_gse31332	lncrna_hotair	bt5_09d15e48567c0eccce2658b4	0	chr1	A	111	6
bte_hotair_gse31332	lncrna_hotair	bt5_0a19df7fc2f33f49d95c0a6e	0	chr3	A	98	1
bte_hotair_gse31332	lncrna_hotair	bt5_0a3b9942852255810506d47e	0	chr2	A	108	8
bte_hotair_gse31332	lncrna_hotair	bt5_0a70ad896ce4b88edcc15647	0	chr2	A	141	34
bte_hotair_gse31332	lncrna_hotair	bt5_0af662c29570f3bea6f8f4d4	0	chr18	A	132	6
bte_hotair_gse31332	lncrna_hotair	bt5_0afbf601727aa092c63a0001	1	chr5	A	-1	0
bte_hotair_gse31332	lncrna_hotair	bt5_0b931d700628fceaa5fc0d87	1	chr20	A	147	23
bte_hotair_gse31332	lncrna_hotair	bt5_0bca83b698823944ea1aad55	0	chr5	A	121	6
bte_hotair_gse31332	lncrna_hotair	bt5_0c1c115f736dbfb8e801e8b2	0	chr4	A	-1	0
bte_hotair_gse31332	lncrna_hotair	bt5_0c39ed3a71b2c199c5e9eb79	0	chr10	A	121	6
bte_hotair_gse31332	lncrna_hotair	bt5_0c7ae418d621b60ae4c84b1e	0	chr2	A	107	14
bte_hotair_gse31332	lncrna_hotair	bt5_0c917de3fff18c338715f07e	0	chr10	A	86	1
bte_hotair_gse31332	lncrna_hotair	bt5_0cb5d697d6490e03f62a8f78	0	chr4	A	112	8
bte_hotair_gse31332	lncrna_hotair	bt5_0cb5eff7fcb9a9737afd8035	0	chr1	A	82	4
bte_hotair_gse31332	lncrna_hotair	bt5_0cf4671c23d491df83391f65	0	chr11	A	101	5
bte_hotair_gse31332	lncrna_hotair	bt5_0d326c51053c0770ec91bbb2	0	chr12	A	124	19
bte_hotair_gse31332	lncrna_hotair	bt5_0d599feaabe70065f8937d23	1	chr8	A	155	16
bte_hotair_gse31332	lncrna_hotair	bt5_0d64fd482be6cb45b6a094ee	0	chr19	A	153	19
bte_hotair_gse31332	lncrna_hotair	bt5_0daa7087122cf5d48bf38df8	1	chr1	A	121	14
bte_hotair_gse31332	lncrna_hotair	bt5_0dd64fe75308cb2367632273	1	chr15	A	110	4
bte_hotair_gse31332	lncrna_hotair	bt5_0df4312daaf555d932c8bd0f	1	chr10	A	86	2
bte_hotair_gse31332	lncrna_hotair	bt5_0ed20db81fa058e69df69d1c	0	chr5	A	84	1
bte_hotair_gse31332	lncrna_hotair	bt5_0f13e6f9d3270e5f5f0e646d	0	chr5	A	122	14
bte_hotair_gse31332	lncrna_hotair	bt5_0fa0a5ad42ca8c785f7f15da	0	chr8	A	156	16
bte_hotair_gse31332	lncrna_hotair	bt5_1068f17eaa2d7deb92d3eb11	0	chr3	A	125	25
bte_hotair_gse31332	lncrna_hotair	bt5_109c842e50f43244a3616a50	0	chr7	A	119	10
bte_hotair_gse31332	lncrna_hotair	bt5_10b54ebf0a7c7ce54504c9c0	0	chr15	A	160	15
bte_hotair_gse31332	lncrna_hotair	bt5_10ff40260be58fe818885826	0	chr1	A	-1	0
bte_hotair_gse31332	lncrna_hotair	bt5_1161674e22c1a35f554eec60	0	chr8	A	90	1
bte_hotair_gse31332	lncrna_hotair	bt5_11fc0f869bc09ab61975e64c	0	chr4	A	111	3
bte_hotair_gse31332	lncrna_hotair	bt5_1221eea6f42561096c87bacc	1	chr10	A	119	5
bte_hotair_gse31332	lncrna_hotair	bt5_126fc5348c9a6b7b89875d62	0	chr20	A	94	8
bte_hotair_gse31332	lncrna_hotair	bt5_1286974227c09f2c08f8e9c4	0	chr3	A	108	4
bte_hotair_gse31332	lncrna_hotair	bt5_13104a06fbc3eed517482c9c	0	chr18	A	76	1
bte_hotair_gse31332	lncrna_hotair	bt5_133cff913ccb5900eba46ee8	0	chr18	A	77	1
bte_hotair_gse31332	lncrna_hotair	bt5_135b794531444e360b2755fc	0	chr3	A	121	7
bte_hotair_gse31332	lncrna_hotair	bt5_1388210d64b8b791fac55341	0	chr9	A	130	1
bte_hotair_gse31332	lncrna_hotair	bt5_13e04d9c3f50dbac55402aff	0	chr6	A	139	20
bte_hotair_gse31332	lncrna_hotair	bt5_13f447af73c607dfef70f64c	0	chr5	A	93	2
bte_hotair_gse31332	lncrna_hotair	bt5_13f73f8f982f5d6b2dc78d08	1	chr19	A	117	11
bte_hotair_gse31332	lncrna_hotair	bt5_13f8874b01f8b86d14134dba	0	chr18	A	135	21
bte_hotair_gse31332	lncrna_hotair	bt5_146312eda9704f58f97a0ac3	0	chr12	A	94	4
bte_hotair_gse31332	lncrna_hotair	bt5_146b82f44613ce205162d700	0	chr19	A	148	30
bte_hotair_gse31332	lncrna_hotair	bt5_1478ae2ed42b11e099512979	1	chr7	A	133	9
bte_hotair_gse31332	lncrna_hotair	bt5_14dab04e6abb5cc639c93c45	0	chr10	A	82	1
bte_hotair_gse31332	lncrna_hotair	bt5_1509dee69b3d283624c9ae20	0	chr5	A	77	2
bte_hotair_gse31332	lncrna_hotair	bt5_156492473e53bbc599e3a573	0	chr20	A	118	11
bte_hotair_gse31332	lncrna_hotair	bt5_15890a93d0c7401395d4ba91	0	chr4	A	135	25
bte_hotair_gse31332	lncrna_hotair	bt5_159aab48e2566798e586f546	0	chr7	A	118	10
bte_hotair_gse31332	lncrna_hotair	bt5_15b519f0cde0bcb9bbba60c1	0	chr11	A	120	12
bte_hotair_gse31332	lncrna_hotair	bt5_1605043ebbd818b4d0455e4b	0	chr3	A	106	2
bte_hotair_gse31332	lncrna_hotair	bt5_16783bc287fc8ce1662d3e1c	0	chr4	A	116	11
bte_hotair_gse31332	lncrna_hotair	bt5_16ab0b0ab0412348408e420f	0	chr14	A	116	15
bte_hotair_gse31332	lncrna_hotair	bt5_16af173ad36e00c932ac76b8	0	chr2	A	118	15
bte_hotair_gse31332	lncrna_hotair	bt5_16d72e56127f95e900373736	1	chr6	A	127	19
bte_hotair_gse31332	lncrna_hotair	bt5_173e4c7e48d6926794c59203	0	chr2	A	121	16
bte_hotair_gse31332	lncrna_hotair	bt5_175b632a4f6145ef38cece9e	0	chr2	A	131	1
bte_hotair_gse31332	lncrna_hotair	bt5_175fd04ed3fec1651e4f8e78	0	chr3	A	121	9
bte_hotair_gse31332	lncrna_hotair	bt5_176d1b48b4903b7d2336333e	0	chr6	A	119	7
bte_hotair_gse31332	lncrna_hotair	bt5_17d9e56303374f01c832e08e	0	chr4	A	117	8
bte_hotair_gse31332	lncrna_hotair	bt5_183f220f0caeac7964582b1a	0	chr4	A	142	20
bte_hotair_gse31332	lncrna_hotair	bt5_1854a0a2df0ab38ac1648a1f	0	chr15	A	109	6
bte_hotair_gse31332	lncrna_hotair	bt5_1864612d786b3d5ecdf67ba6	0	chr11	A	93	1
bte_hotair_gse31332	lncrna_hotair	bt5_18dec61d299079085e3ee2df	0	chr6	A	133	28
bte_hotair_gse31332	lncrna_hotair	bt5_18e3aa4b684fbc055d44236b	0	chr1	A	96	4
bte_hotair_gse31332	lncrna_hotair	bt5_18ef1437040b90dc45700f7a	0	chr7	A	85	4
bte_hotair_gse31332	lncrna_hotair	bt5_18f43606c9df961a3d7d7082	0	chr4	A	126	5
bte_hotair_gse31332	lncrna_hotair	bt5_19075013a3f677c2ccea4c3d	0	chr7	A	84	4
bte_hotair_gse31332	lncrna_hotair	bt5_19091054bc9ff87e0e14142b	0	chr3	A	158	15
bte_hotair_gse31332	lncrna_hotair	bt5_1941fc0008c38f271be47495	0	chr2	A	168	47
bte_hotair_gse31332	lncrna_hotair	bt5_196d9e96095777c6aaf76350	0	chr15	A	135	8
bte_hotair_gse31332	lncrna_hotair	bt5_1a11714b39432aa1cfe74621	0	chr19	A	132	32
bte_hotair_gse31332	lncrna_hotair	bt5_1a2c1f68adb733bbf7a20286	0	chr19	A	137	9
bte_hotair_gse31332	lncrna_hotair	bt5_1a9cccebb950b771031baf85	1	chr11	A	123	33
bte_hotair_gse31332	lncrna_hotair	bt5_1ac34d685f3611be0a6a48b0	0	chr5	A	128	14
bte_hotair_gse31332	lncrna_hotair	bt5_1b809591ff4d4b80a035dfff	0	chr1	A	133	4
bte_hotair_gse31332	lncrna_hotair	bt5_1bfb9c3696ddb3b4acf7f5c4	0	chr9	A	137	43
bte_hotair_gse31332	lncrna_hotair	bt5_1bfbfe582813c4d0bb30cbe0	0	chr6	A	145	22
bte_hotair_gse31332	lncrna_hotair	bt5_1c3168c4ad390b4981bc34fc	0	chr7	A	121	10
bte_hotair_gse31332	lncrna_hotair	bt5_1c6e429c6527af5cab1ec41f	0	chr8	A	141	42
bte_hotair_gse31332	lncrna_hotair	bt5_1c811a58a5f42518c5a7944f	1	chr2	A	148	54
bte_hotair_gse31332	lncrna_hotair	bt5_1c882bbcc572dfabcefabf56	0	chr7	A	110	8
bte_hotair_gse31332	lncrna_hotair	bt5_1ccf2391c2d3b8a1d9d25789	0	chr18	A	109	7
bte_hotair_gse31332	lncrna_hotair	bt5_1d2129cb09e254160aeb7f0b	0	chr12	A	124	14
bte_hotair_gse31332	lncrna_hotair	bt5_1d24af295f260be63cc2a790	0	chr11	A	113	3
bte_hotair_gse31332	lncrna_hotair	bt5_1d9ae5df4a981f86e26125cb	0	chr11	A	117	3
bte_hotair_gse31332	lncrna_hotair	bt5_1dd82eb79190d91ed2e51442	0	chr11	A	119	10
bte_hotair_gse31332	lncrna_hotair	bt5_1df1654b531508e60fef2605	0	chr11	A	114	12
bte_hotair_gse31332	lncrna_hotair	bt5_1df1b61288affe6f016939c4	0	chr5	A	140	9
bte_hotair_gse31332	lncrna_hotair	bt5_1e2098575e9e3742679ea3d2	0	chr14	A	119	11
bte_hotair_gse31332	lncrna_hotair	bt5_1e338103c8e2901f941e90e0	0	chr18	A	142	9
bte_hotair_gse31332	lncrna_hotair	bt5_1e5bd5ac1734812d8a452990	0	chr11	A	175	30
bte_hotair_gse31332	lncrna_hotair	bt5_1e63bbdab7212e217ea46593	0	chr19	A	117	20
bte_hotair_gse31332	lncrna_hotair	bt5_1e92a142af42cc025a1d0c1c	0	chr7	A	133	3
bte_hotair_gse31332	lncrna_hotair	bt5_1f15ce858b6fe06c658506f9	0	chr9	A	135	17
bte_hotair_gse31332	lncrna_hotair	bt5_1f3dd0d2037094c20938a09d	0	chr3	A	85	1
bte_hotair_gse31332	lncrna_hotair	bt5_1f5bd63aa3957c534308085a	0	chr9	A	139	31
bte_hotair_gse31332	lncrna_hotair	bt5_1f79aa9654b3f57ff6e1465b	0	chr6	A	130	5
bte_hotair_gse31332	lncrna_hotair	bt5_1f84f2b053f7ff9860d026e5	1	chr9	A	144	40
bte_hotair_gse31332	lncrna_hotair	bt5_1fd97c42524d89a9ebd20f1d	0	chr1	A	124	10
bte_hotair_gse31332	lncrna_hotair	bt5_2009eab5318b018e8bf8de9c	0	chr1	A	152	13
bte_hotair_gse31332	lncrna_hotair	bt5_2014818c65bc6d56e055cf1e	0	chr11	A	109	5
bte_hotair_gse31332	lncrna_hotair	bt5_2018a08c68e585181e1e2968	0	chr17	A	130	15
bte_hotair_gse31332	lncrna_hotair	bt5_201ba46b907409c824cddab8	0	chr1	A	139	21
bte_hotair_gse31332	lncrna_hotair	bt5_203468ba30f981204797ddf8	0	chr11	A	113	7
bte_hotair_gse31332	lncrna_hotair	bt5_2083d90c1a7666e16664a9ab	0	chr8	A	116	6
bte_hotair_gse31332	lncrna_hotair	bt5_217385a87d43fe8caa6cb470	0	chr17	A	135	26
bte_hotair_gse31332	lncrna_hotair	bt5_218b63e55814015cbc14b7b8	0	chr9	A	120	14
bte_hotair_gse31332	lncrna_hotair	bt5_224aaa29691b15c617c30528	0	chr14	A	108	6
bte_hotair_gse31332	lncrna_hotair	bt5_22b00310f67dc66ec68eaddc	0	chr4	A	104	5
bte_hotair_gse31332	lncrna_hotair	bt5_22d40f75b22b1d469db8e8a0	0	chr11	A	129	10
bte_hotair_gse31332	lncrna_hotair	bt5_22dbdf7f2a15aead9dcd576d	0	chr11	A	115	15
bte_hotair_gse31332	lncrna_hotair	bt5_23506e4c1b221d2c6e6fef7c	0	chr22	A	122	24
bte_hotair_gse31332	lncrna_hotair	bt5_23bdc05a549db97b22827b9f	0	chr17	A	129	9
bte_hotair_gse31332	lncrna_hotair	bt5_23c90fc80ad12ad0e80ad12e	0	chr11	A	132	43
bte_hotair_gse31332	lncrna_hotair	bt5_23d5c2a1ac1c860f88338235	0	chr14	A	128	12
bte_hotair_gse31332	lncrna_hotair	bt5_24ba0207e4f84773a8c8f720	0	chr5	A	92	5
bte_hotair_gse31332	lncrna_hotair	bt5_26434c6ab39cd1089dd80331	0	chr18	A	102	2
bte_hotair_gse31332	lncrna_hotair	bt5_267e241334133bbe18a96408	1	chr1	A	116	4
bte_hotair_gse31332	lncrna_hotair	bt5_26de3d0ecc927288c8267db1	0	chr15	A	116	4
bte_hotair_gse31332	lncrna_hotair	bt5_26e2fb2ff0ead7cf14a407b0	0	chr7	A	163	22
bte_hotair_gse31332	lncrna_hotair	bt5_275146e86747400d8de8f278	0	chr11	A	131	5
bte_hotair_gse31332	lncrna_hotair	bt5_27df7d8401396ff59dbaa14c	0	chr9	A	82	3
bte_hotair_gse31332	lncrna_hotair	bt5_28148a1b2f47e560dd85cc74	0	chr2	A	111	4
bte_hotair_gse31332	lncrna_hotair	bt5_2818e3b593b49c50c952f13d	0	chr1	A	105	9
bte_hotair_gse31332	lncrna_hotair	bt5_284bc0ea7f88af84ba5f3f11	0	chr12	A	124	13
bte_hotair_gse31332	lncrna_hotair	bt5_288898bc7bea1379a01aeb5e	0	chr12	A	88	2
bte_hotair_gse31332	lncrna_hotair	bt5_28c020d31e9f406eaad5aa6d	1	chr9	A	119	8
bte_hotair_gse31332	lncrna_hotair	bt5_28eafe7c9f11d1de63802e32	0	chr10	A	136	26
bte_hotair_gse31332	lncrna_hotair	bt5_29279cbc8de5a2b7f0e23ebb	0	chr14	A	153	16
bte_hotair_gse31332	lncrna_hotair	bt5_295ee7f2f44de47dd6a9829f	0	chr4	A	115	5
bte_hotair_gse31332	lncrna_hotair	bt5_2979d187f26240d3964c88b9	0	chr11	A	97	8
bte_hotair_gse31332	lncrna_hotair	bt5_2982c170c9ed6b87e406b0d9	1	chr1	A	97	4
bte_hotair_gse31332	lncrna_hotair	bt5_29cdbae5c77b64999e13a7fa	1	chr4	A	-1	0
bte_hotair_gse31332	lncrna_hotair	bt5_29ed4fc0f397ff0b275e0e1c	0	chr4	A	122	1
bte_hotair_gse31332	lncrna_hotair	bt5_2a2f35469fdc8777fc513293	1	chr5	A	114	3
bte_hotair_gse31332	lncrna_hotair	bt5_2a4d641ec335e38ccc1dad03	0	chr7	A	134	15
bte_hotair_gse31332	lncrna_hotair	bt5_2a50f8c65542caa87cfb9e9e	0	chr20	A	144	32
bte_hotair_gse31332	lncrna_hotair	bt5_2a52fd818b45e338bb3c7859	0	chr6	A	151	33
bte_hotair_gse31332	lncrna_hotair	bt5_2ab78c476a088408ad929638	0	chr4	A	-1	0
bte_hotair_gse31332	lncrna_hotair	bt5_2b386713ad31785a9c096687	0	chr20	A	120	14
bte_hotair_gse31332	lncrna_hotair	bt5_2b4a8c5436c70c45e2489db0	0	chr5	A	137	21
bte_hotair_gse31332	lncrna_hotair	bt5_2bbe1c0f0bb5d78144c7016a	0	chr1	A	118	7
bte_hotair_gse31332	lncrna_hotair	bt5_2bc5c452de7ade5a277ee605	0	chr18	A	103	1
bte_hotair_gse31332	lncrna_hotair	bt5_2bf520abf091cd5d3aa2f5a6	0	chr11	A	130	12
bte_hotair_gse31332	lncrna_hotair	bt5_2c6e80c7b6b802bfd7d209b7	0	chr9	A	102	5
bte_hotair_gse31332	lncrna_hotair	bt5_2c6fc37a6038313396a3b3f2	0	chr5	A	122	21
bte_hotair_gse31332	lncrna_hotair	bt5_2c9476995c6ca10060fbfedc	0	chr11	A	86	3
bte_hotair_gse31332	lncrna_hotair	bt5_2c9a20f808e8873f7e3f0a4b	0	chr7	A	131	15
bte_hotair_gse31332	lncrna_hotair	bt5_2d2ea622f746ec4052466eb7	0	chr1	A	94	1
bte_hotair_gse31332	lncrna_hotair	bt5_2da05fa4009253ffaf5b006d	0	chr7	A	94	1
bte_hotair_gse31332	lncrna_hotair	bt5_2db263edf81fefb1377ace7b	0	chr11	A	126	20
bte_hotair_gse31332	lncrna_hotair	bt5_2dd15184295033ce10fc45c3	0	chr17	A	136	40
bte_hotair_gse31332	lncrna_hotair	bt5_2dd48fa71928e86e9104731b	0	chr3	A	151	12
bte_hotair_gse31332	lncrna_hotair	bt5_2e12c820b1bd1e9e8f29ad84	0	chr9	A	110	6
bte_hotair_gse31332	lncrna_hotair	bt5_2e5831c1139da1dfde61c2b3	0	chr19	A	157	35
bte_hotair_gse31332	lncrna_hotair	bt5_2ec058374e51ce060f01028a	0	chr22	A	134	43
bte_hotair_gse31332	lncrna_hotair	bt5_2ed6ed3b6990e169e44b187b	0	chr7	A	130	9
bte_hotair_gse31332	lncrna_hotair	bt5_2f3f6b98ddd3e9e39140729b	0	chr2	A	112	8
bte_hotair_gse31332	lncrna_hotair	bt5_2fdcec70e144594de3fa887b	0	chr12	A	122	11
bte_hotair_gse31332	lncrna_hotair	bt5_306cec96903c769d7d669766	1	chr12	A	125	12
bte_hotair_gse31332	lncrna_hotair	bt5_30db73b23403c7332bee7a65	0	chr18	A	138	21
bte_hotair_gse31332	lncrna_hotair	bt5_315107b5a2e21e51dcff3c56	0	chr5	A	117	7
bte_hotair_gse31332	lncrna_hotair	bt5_31785209481e11250b2ffaec	0	chr14	A	116	8
bte_hotair_gse31332	lncrna_hotair	bt5_3199b4a3a4bf85b57c92e7d6	0	chr11	A	81	4
bte_hotair_gse31332	lncrna_hotair	bt5_3256fa89af29c19f0eefd8a9	1	chr20	A	122	9
bte_hotair_gse31332	lncrna_hotair	bt5_33ce4881f989ad49053051b4	1	chr2	A	131	5
bte_hotair_gse31332	lncrna_hotair	bt5_33f38a5902e02116f5e37ef8	0	chr2	A	130	22
bte_hotair_gse31332	lncrna_hotair	bt5_342ef4cf6143f90b072b4f13	0	chr15	A	140	17
bte_hotair_gse31332	lncrna_hotair	bt5_3470fd5bb53b742031dcdb3d	0	chr9	A	116	5
bte_hotair_gse31332	lncrna_hotair	bt5_34c991d2385ab60454a2a7ae	0	chr1	A	119	11
bte_hotair_gse31332	lncrna_hotair	bt5_34db4f83d928efa7bb012fc5	0	chr4	A	97	2
bte_hotair_gse31332	lncrna_hotair	bt5_3511f5f0c5be48ed0772665b	0	chr12	A	91	3
bte_hotair_gse31332	lncrna_hotair	bt5_35189b4ddf176ceb93ce2cf1	0	chr11	A	138	22
bte_hotair_gse31332	lncrna_hotair	bt5_354d54507765319cea1332f0	1	chr11	A	121	8
bte_hotair_gse31332	lncrna_hotair	bt5_355f8442ef57510022693a1c	0	chr6	A	141	36
bte_hotair_gse31332	lncrna_hotair	bt5_361733d4d73b981a15914ecc	0	chr4	A	109	3
bte_hotair_gse31332	lncrna_hotair	bt5_361fa79ab79d69e38056f615	0	chr10	A	79	3
bte_hotair_gse31332	lncrna_hotair	bt5_3745168ac5d94d3838de93dd	0	chr19	A	132	21
bte_hotair_gse31332	lncrna_hotair	bt5_37843784050b796d58101487	0	chr7	A	116	6
bte_hotair_gse31332	lncrna_hotair	bt5_379ab67fdc3faf228ed12ead	0	chr7	A	139	8
bte_hotair_gse31332	lncrna_hotair	bt5_37e3ef36b3e6a76c8980b786	0	chr4	A	93	1
bte_hotair_gse31332	lncrna_hotair	bt5_37f467eed14a648da67b2ddf	0	chr1	A	108	7
bte_hotair_gse31332	lncrna_hotair	bt5_380d3c7cdf66c552b8519dbf	0	chr16	A	107	9
bte_hotair_gse31332	lncrna_hotair	bt5_38b1b1a7c888e50d908b913f	0	chr8	A	83	1
bte_hotair_gse31332	lncrna_hotair	bt5_394a27f9253d81a2a1da4458	0	chr1	A	118	7
bte_hotair_gse31332	lncrna_hotair	bt5_3983a60b7c8cece1886caefb	0	chr3	A	113	9
bte_hotair_gse31332	lncrna_hotair	bt5_39affa6ef39d1e8fb78fda25	0	chr8	A	104	2
bte_hotair_gse31332	lncrna_hotair	bt5_39b690dd902b9d4396c76107	0	chr17	A	122	16
bte_hotair_gse31332	lncrna_hotair	bt5_39bbdb5ae0c264befb12ba23	0	chr7	A	127	9
bte_hotair_gse31332	lncrna_hotair	bt5_3a67c0d1b0f980a864cd061b	0	chr4	A	78	2
bte_hotair_gse31332	lncrna_hotair	bt5_3aa8592d25cf272699195381	0	chr5	A	145	12
bte_hotair_gse31332	lncrna_hotair	bt5_3b03e28f83e2c9742f6f81f1	0	chr1	A	111	1
bte_hotair_gse31332	lncrna_hotair	bt5_3b15a51bf8d39ceefa9dcd98	0	chr1	A	109	4
bte_hotair_gse31332	lncrna_hotair	bt5_3b5081998ea0ff7f97dcd6d7	0	chr1	A	101	1
bte_hotair_gse31332	lncrna_hotair	bt5_3b64a0fc58d5c78c0734f295	0	chr17	A	123	41
bte_hotair_gse31332	lncrna_hotair	bt5_3b65a0b296baea8cd9b5fbd8	0	chr10	A	143	8
bte_hotair_gse31332	lncrna_hotair	bt5_3b6ebf515ee75abb610f7f83	0	chr10	A	96	2
bte_hotair_gse31332	lncrna_hotair	bt5_3ba97a2373034ab7fd6761ef	0	chr19	A	161	28
bte_hotair_gse31332	lncrna_hotair	bt5_3c8271ec2e3d0d0e69e49ecd	0	chr4	A	127	6
bte_hotair_gse31332	lncrna_hotair	bt5_3c83aaf621ec462d7e66f7f0	0	chr17	A	148	9
bte_hotair_gse31332	lncrna_hotair	bt5_3cc01eb5ae7a9a385af2e1e5	0	chr19	A	108	8
bte_hotair_gse31332	lncrna_hotair	bt5_3d3398b45772aa87327885ce	0	chr3	A	165	46
bte_hotair_gse31332	lncrna_hotair	bt5_3d6fbac60d64d30d05fa3dc1	0	chr7	A	114	1
bte_hotair_gse31332	lncrna_hotair	bt5_3db05d55fea48afc8e5aa230	0	chr5	A	113	7
bte_hotair_gse31332	lncrna_hotair	bt5_3dd751b88817505bbcee4de4	0	chr16	A	128	43
bte_hotair_gse31332	lncrna_hotair	bt5_3dfb933efe70f54fe0d03b95	0	chr11	A	124	13
bte_hotair_gse31332	lncrna_hotair	bt5_3e25bfa3209c223d902bf15f	1	chr9	A	131	63
bte_hotair_gse31332	lncrna_hotair	bt5_3e88e57da6cec13378f433ef	0	chr3	A	146	9
bte_hotair_gse31332	lncrna_hotair	bt5_3e8e149c1f1d2e41bdeaa896	0	chr4	A	128	8
bte_hotair_gse31332	lncrna_hotair	bt5_3ead37eacd6cc7118a3034a8	0	chr12	A	133	9
bte_hotair_gse31332	lncrna_hotair	bt5_3eb842cf3a8a8dd9e6e6bb98	0	chr2	A	97	3
bte_hotair_gse31332	lncrna_hotair	bt5_3f9a642a319d371f464ab478	0	chr1	A	101	3
bte_hotair_gse31332	lncrna_hotair	bt5_3fa140e606d9799baa5e8bd4	0	chr14	A	89	2
bte_hotair_gse31332	lncrna_hotair	bt5_3fa5c3e6e0aae2be00c33867	0	chr5	A	123	5
bte_hotair_gse31332	lncrna_hotair	bt5_3fc1f6611dc7c4e5e5a3b2fd	0	chr15	A	126	5
bte_hotair_gse31332	lncrna_hotair	bt5_3fc49143ffad2dc4427c8876	1	chr5	A	125	13
