comparison_id	dataset_class	workload_id	repeat_id	comparison_status	technical_failure	ranking_mode	strict_row_diagnostic	reference_candidate_count	candidate_candidate_count	matched_count	unmatched_reference_count	unmatched_candidate_count	recall	precision	top1_retained	complete_set_preserved	set_membership	ambiguous_matching	target_overlap_minimum	classifications	finite_rbo_fraction	binary_gate_denominator_eligible	binary_success
canonical_hybrid_v2_former_fresh:vh004__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh004	0	pass	0	score	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh004__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh004	0	pass	0	stability	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh004__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh004	0	pass	0	nt	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh005__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh005	0	pass	0	score	match	2	2	2	0	0	1	1	1	1	preserved	0	1	none	54289/100000	1	1
canonical_hybrid_v2_former_fresh:vh005__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh005	0	pass	0	stability	match	2	2	2	0	0	1	1	1	1	preserved	0	1	none	54289/100000	1	1
canonical_hybrid_v2_former_fresh:vh005__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh005	0	pass	0	nt	match	2	2	2	0	0	1	1	1	1	preserved	0	1	none	54289/100000	1	1
canonical_hybrid_v2_former_fresh:vh006__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh006	0	pass	0	score	match	4	4	4	0	0	1	1	1	1	preserved	0	1	none	43439/50000	1	1
canonical_hybrid_v2_former_fresh:vh006__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh006	0	pass	0	stability	match	4	4	4	0	0	1	1	1	1	preserved	0	1	none	43439/50000	1	1
canonical_hybrid_v2_former_fresh:vh006__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh006	0	pass	0	nt	match	4	4	4	0	0	1	1	1	1	preserved	0	1	none	43439/50000	1	1
canonical_hybrid_v2_former_fresh:vh007__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh007	0	pass	0	score	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh007__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh007	0	pass	0	stability	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh007__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh007	0	pass	0	nt	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh008__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh008	0	pass	0	score	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh008__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh008	0	pass	0	stability	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh008__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh008	0	pass	0	nt	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh009__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh009	0	pass	0	score	match	3	3	3	0	0	1	1	1	1	preserved	0	1	none	143867/200000	1	1
canonical_hybrid_v2_former_fresh:vh009__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh009	0	pass	0	stability	match	3	3	3	0	0	1	1	1	1	preserved	0	1	none	143867/200000	1	1
canonical_hybrid_v2_former_fresh:vh009__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh009	0	pass	0	nt	match	3	3	3	0	0	1	1	1	1	preserved	0	1	none	143867/200000	1	1
canonical_hybrid_v2_former_fresh:vh010__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh010	0	pass	0	score	match	1	1	1	0	0	1	1	1	1	preserved	0	1	none	64289/200000	1	1
canonical_hybrid_v2_former_fresh:vh010__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh010	0	pass	0	stability	match	1	1	1	0	0	1	1	1	1	preserved	0	1	none	64289/200000	1	1
canonical_hybrid_v2_former_fresh:vh010__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh010	0	pass	0	nt	match	1	1	1	0	0	1	1	1	1	preserved	0	1	none	64289/200000	1	1
canonical_hybrid_v2_former_fresh:vh011__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh011	0	pass	0	score	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh011__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh011	0	pass	0	stability	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh011__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh011	0	pass	0	nt	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh012__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh012	0	pass	0	score	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh012__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh012	0	pass	0	stability	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh012__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh012	0	pass	0	nt	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh013__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh013	0	pass	0	score	match	4	4	4	0	0	1	1	1	1	preserved	0	1	none	43439/50000	1	1
canonical_hybrid_v2_former_fresh:vh013__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh013	0	pass	0	stability	match	4	4	4	0	0	1	1	1	1	preserved	0	1	none	43439/50000	1	1
canonical_hybrid_v2_former_fresh:vh013__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh013	0	pass	0	nt	match	4	4	4	0	0	1	1	1	1	preserved	0	1	none	43439/50000	1	1
canonical_hybrid_v2_former_fresh:vh014__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh014	0	pass	0	score	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh014__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh014	0	pass	0	stability	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh014__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh014	0	pass	0	nt	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh015__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh015	0	pass	0	score	match	4	4	4	0	0	1	1	1	1	preserved	0	1	none	43439/50000	1	1
canonical_hybrid_v2_former_fresh:vh015__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh015	0	pass	0	stability	match	4	4	4	0	0	1	1	1	1	preserved	0	1	none	43439/50000	1	1
canonical_hybrid_v2_former_fresh:vh015__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh015	0	pass	0	nt	match	4	4	4	0	0	1	1	1	1	preserved	0	1	none	43439/50000	1	1
canonical_hybrid_v2_former_fresh:vh016__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh016	0	pass	0	score	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh016__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh016	0	pass	0	stability	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh016__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh016	0	pass	0	nt	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh017__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh017	0	pass	0	score	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh017__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh017	0	pass	0	stability	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh017__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh017	0	pass	0	nt	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh017__repeat01	canonical_hybrid_v2_former_fresh_60_regression_only	vh017	1	pass	0	score	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh017__repeat01	canonical_hybrid_v2_former_fresh_60_regression_only	vh017	1	pass	0	stability	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh017__repeat01	canonical_hybrid_v2_former_fresh_60_regression_only	vh017	1	pass	0	nt	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh017__repeat02	canonical_hybrid_v2_former_fresh_60_regression_only	vh017	2	pass	0	score	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh017__repeat02	canonical_hybrid_v2_former_fresh_60_regression_only	vh017	2	pass	0	stability	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh017__repeat02	canonical_hybrid_v2_former_fresh_60_regression_only	vh017	2	pass	0	nt	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh018__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh018	0	pass	0	score	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh018__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh018	0	pass	0	stability	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh018__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh018	0	pass	0	nt	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh019__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh019	0	pass	0	score	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh019__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh019	0	pass	0	stability	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh019__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh019	0	pass	0	nt	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh019__repeat01	canonical_hybrid_v2_former_fresh_60_regression_only	vh019	1	pass	0	score	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh019__repeat01	canonical_hybrid_v2_former_fresh_60_regression_only	vh019	1	pass	0	stability	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh019__repeat01	canonical_hybrid_v2_former_fresh_60_regression_only	vh019	1	pass	0	nt	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh019__repeat02	canonical_hybrid_v2_former_fresh_60_regression_only	vh019	2	pass	0	score	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh019__repeat02	canonical_hybrid_v2_former_fresh_60_regression_only	vh019	2	pass	0	stability	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh019__repeat02	canonical_hybrid_v2_former_fresh_60_regression_only	vh019	2	pass	0	nt	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh020__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh020	0	pass	0	score	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh020__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh020	0	pass	0	stability	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh020__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh020	0	pass	0	nt	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh021__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh021	0	pass	0	score	match	4	4	4	0	0	1	1	1	1	preserved	0	1	none	43439/50000	1	1
canonical_hybrid_v2_former_fresh:vh021__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh021	0	pass	0	stability	match	4	4	4	0	0	1	1	1	1	preserved	0	1	none	43439/50000	1	1
canonical_hybrid_v2_former_fresh:vh021__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh021	0	pass	0	nt	match	4	4	4	0	0	1	1	1	1	preserved	0	1	none	43439/50000	1	1
canonical_hybrid_v2_former_fresh:vh022__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh022	0	pass	0	score	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh022__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh022	0	pass	0	stability	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh022__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh022	0	pass	0	nt	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh023__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh023	0	pass	0	score	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh023__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh023	0	pass	0	stability	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh023__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh023	0	pass	0	nt	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh024__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh024	0	pass	0	score	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh024__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh024	0	pass	0	stability	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh024__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh024	0	pass	0	nt	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh025__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh025	0	pass	0	score	match	3	3	3	0	0	1	1	1	1	preserved	0	1	none	143867/200000	1	1
canonical_hybrid_v2_former_fresh:vh025__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh025	0	pass	0	stability	match	3	3	3	0	0	1	1	1	1	preserved	0	1	none	143867/200000	1	1
canonical_hybrid_v2_former_fresh:vh025__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh025	0	pass	0	nt	match	3	3	3	0	0	1	1	1	1	preserved	0	1	none	143867/200000	1	1
canonical_hybrid_v2_former_fresh:vh026__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh026	0	pass	0	score	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh026__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh026	0	pass	0	stability	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh026__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh026	0	pass	0	nt	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh027__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh027	0	pass	0	score	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh027__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh027	0	pass	0	stability	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh027__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh027	0	pass	0	nt	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh028__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh028	0	pass	0	score	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh028__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh028	0	pass	0	stability	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh028__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh028	0	pass	0	nt	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh029__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh029	0	pass	0	score	match	2	2	2	0	0	1	1	1	1	preserved	0	1	none	54289/100000	1	1
canonical_hybrid_v2_former_fresh:vh029__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh029	0	pass	0	stability	match	2	2	2	0	0	1	1	1	1	preserved	0	1	none	54289/100000	1	1
canonical_hybrid_v2_former_fresh:vh029__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh029	0	pass	0	nt	match	2	2	2	0	0	1	1	1	1	preserved	0	1	none	54289/100000	1	1
canonical_hybrid_v2_former_fresh:vh030__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh030	0	pass	0	score	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh030__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh030	0	pass	0	stability	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh030__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh030	0	pass	0	nt	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh031__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh031	0	pass	0	score	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh031__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh031	0	pass	0	stability	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh031__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh031	0	pass	0	nt	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh032__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh032	0	pass	0	score	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh032__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh032	0	pass	0	stability	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh032__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh032	0	pass	0	nt	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh033__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh033	0	pass	0	score	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh033__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh033	0	pass	0	stability	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh033__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh033	0	pass	0	nt	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh033__repeat01	canonical_hybrid_v2_former_fresh_60_regression_only	vh033	1	pass	0	score	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh033__repeat01	canonical_hybrid_v2_former_fresh_60_regression_only	vh033	1	pass	0	stability	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh033__repeat01	canonical_hybrid_v2_former_fresh_60_regression_only	vh033	1	pass	0	nt	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh033__repeat02	canonical_hybrid_v2_former_fresh_60_regression_only	vh033	2	pass	0	score	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh033__repeat02	canonical_hybrid_v2_former_fresh_60_regression_only	vh033	2	pass	0	stability	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh033__repeat02	canonical_hybrid_v2_former_fresh_60_regression_only	vh033	2	pass	0	nt	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh034__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh034	0	pass	0	score	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh034__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh034	0	pass	0	stability	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
canonical_hybrid_v2_former_fresh:vh034__repeat00	canonical_hybrid_v2_former_fresh_60_regression_only	vh034	0	pass	0	nt	match	5	5	5	0	0	1	1	1	1	preserved	0	1	none	1	1	1
