record_type	query_ordinal_namespace	query_source_ordinal	target_ordinal_namespace	target_source_ordinal	query_id	target_id	query_sha256	target_sha256	query_region	target_region	assembly	coordinate_namespace	pair_digest	source_receipt_path	exclusion_reason
pair	historical_workload_manifest	NA	historical_workload_manifest	NA	H19	chr21_full	7d94fb9515b0fa63dbe8fb62e01bb50616760ce80eeef29ec9c3893af8040f4e	35c71b68436d1a278ecb6a1e875af3ba4020738a028a7feac769a6d62790ae1f	0:2812	full	as_recorded_in_historical_workload	source_fasta_record_coordinates	34aebac28daec9efda44d7fc4c4abd89b76aa2751415ee4592e4613abf5bc8e2	paper/workload_manifest.tsv	historical_development_lncRNA;historical_development_or_paper_workload
pair	historical_workload_manifest	NA	historical_workload_manifest	NA	H19	chr21_center_2mb	7d94fb9515b0fa63dbe8fb62e01bb50616760ce80eeef29ec9c3893af8040f4e	35c71b68436d1a278ecb6a1e875af3ba4020738a028a7feac769a6d62790ae1f	0:2812	slice:22354991-24354991	as_recorded_in_historical_workload	source_fasta_record_coordinates	6093f24e6bb964eaa04140a3f2cf48d2bbf599dd3b2836aa01146abdb238f02d	paper/workload_manifest.tsv	historical_development_lncRNA;historical_development_or_paper_workload
pair	historical_workload_manifest	NA	historical_workload_manifest	NA	H19	chr11_center_2mb	7d94fb9515b0fa63dbe8fb62e01bb50616760ce80eeef29ec9c3893af8040f4e	5a45b92f2d9cbc494214203ea2c1b334c0b43dcacea3faf5909b86ccda1a57dd	0:2812	slice:66543311-68543311	as_recorded_in_historical_workload	source_fasta_record_coordinates	e1aa90dd875f9b82c84cfeacb9cec17a84a3b6d635e317c7c2268729180e1a93	paper/workload_manifest.tsv	historical_development_lncRNA;historical_development_or_paper_workload
pair	historical_workload_manifest	NA	historical_workload_manifest	NA	H19	chr22_full	7d94fb9515b0fa63dbe8fb62e01bb50616760ce80eeef29ec9c3893af8040f4e	ce3ee1ca39356238f7aee438a40a88b4f1b9d80b316b263e16fb12402212d10f	0:2812	full	as_recorded_in_historical_workload	source_fasta_record_coordinates	9963c9a45c6ae913086156eb00ce438e18f57b257d6c7a1cf1ca3c96622e5f1e	paper/workload_manifest.tsv	historical_development_lncRNA;historical_development_or_paper_workload
pair	historical_workload_manifest	NA	historical_workload_manifest	NA	H19	chr22_center_2mb	7d94fb9515b0fa63dbe8fb62e01bb50616760ce80eeef29ec9c3893af8040f4e	ce3ee1ca39356238f7aee438a40a88b4f1b9d80b316b263e16fb12402212d10f	0:2812	slice:24409234-26409234	as_recorded_in_historical_workload	source_fasta_record_coordinates	dc40629f99ad55fd5f9b46b673eed9f154b6bca81681cb467b1bf721b3e69385	paper/workload_manifest.tsv	historical_development_lncRNA;historical_development_or_paper_workload
pair	historical_workload_manifest	NA	historical_workload_manifest	NA	H19	chr22_10m_12m	7d94fb9515b0fa63dbe8fb62e01bb50616760ce80eeef29ec9c3893af8040f4e	e36fd5e349179420d36f7a2cca4503dbe1e82ad4d7eecb88afd421f0f23099ea	0:2812	full	as_recorded_in_historical_workload	source_fasta_record_coordinates	6f615a27a3f5ab374fac755c3333ea957cca0db2c2e8c19e19ddfa996fcd8a28	paper/workload_manifest.tsv	historical_development_lncRNA;historical_development_or_paper_workload
pair	historical_workload_manifest	NA	historical_workload_manifest	NA	MEG3	chr11_center_2mb	c67150e68d7b4e97de72704aebcac52d2bd3342a200715484e99fff2f015e15d	5a45b92f2d9cbc494214203ea2c1b334c0b43dcacea3faf5909b86ccda1a57dd	0:1582	slice:66543311-68543311	as_recorded_in_historical_workload	source_fasta_record_coordinates	18bcc3991b34fcb87070c85f8745d334162d52dd3d7099a56f84630cffb9ced7	paper/workload_manifest.tsv	historical_development_lncRNA;historical_development_or_paper_workload
pair	historical_workload_manifest	NA	historical_workload_manifest	NA	KCNQ1OT1	chr21_center_2mb	f8883e1855017b7a28576770a8c8476a8eb1adbfcbef08d55c6dc74c49a86cc4	35c71b68436d1a278ecb6a1e875af3ba4020738a028a7feac769a6d62790ae1f	0:2812	slice:22354991-24354991	as_recorded_in_historical_workload	source_fasta_record_coordinates	e6c900c79fa9358f17e917fc00b81a68ea01f9f81ac6e0d21cc8f436cbd90652	paper/workload_manifest.tsv	historical_development_lncRNA;historical_development_or_paper_workload
pair	historical_workload_manifest	NA	historical_workload_manifest	NA	KCNQ1OT1	chr11_center_2mb	f8883e1855017b7a28576770a8c8476a8eb1adbfcbef08d55c6dc74c49a86cc4	5a45b92f2d9cbc494214203ea2c1b334c0b43dcacea3faf5909b86ccda1a57dd	89619:91667	slice:66543311-68543311	as_recorded_in_historical_workload	source_fasta_record_coordinates	09185d596bc6da3c510bd455a8c7d328d8dc6411aa51217fd283de886b844963	paper/workload_manifest.tsv	historical_development_lncRNA;historical_development_or_paper_workload
pair	historical_workload_manifest	NA	historical_workload_manifest	NA	KCNQ1OT1	chr22_full	f8883e1855017b7a28576770a8c8476a8eb1adbfcbef08d55c6dc74c49a86cc4	ce3ee1ca39356238f7aee438a40a88b4f1b9d80b316b263e16fb12402212d10f	0:2048	full	as_recorded_in_historical_workload	source_fasta_record_coordinates	0d068fd54206ea6e9bf8642b6d9203fd32bae455befcad5f3f933808d14df6ee	paper/workload_manifest.tsv	historical_development_lncRNA;historical_development_or_paper_workload
pair	historical_workload_manifest	NA	historical_workload_manifest	NA	KCNQ1OT1	chr22_full	f8883e1855017b7a28576770a8c8476a8eb1adbfcbef08d55c6dc74c49a86cc4	ce3ee1ca39356238f7aee438a40a88b4f1b9d80b316b263e16fb12402212d10f	0:91667	full	as_recorded_in_historical_workload	source_fasta_record_coordinates	3d4f6e546d2e5cd1dde18e1d5c91a2f36a679f28f71ab5958b37fd5e81511530	paper/workload_manifest.tsv	historical_development_lncRNA;historical_development_or_paper_workload
pair	historical_workload_manifest	NA	historical_workload_manifest	NA	KCNQ1OT1	chr22_center_2mb	f8883e1855017b7a28576770a8c8476a8eb1adbfcbef08d55c6dc74c49a86cc4	ce3ee1ca39356238f7aee438a40a88b4f1b9d80b316b263e16fb12402212d10f	45321:46345	slice:24409234-26409234	as_recorded_in_historical_workload	source_fasta_record_coordinates	fe9f0ac0d612f47001377daa3a7c45325f4ad0518b7433b80e9ca41775179fbb	paper/workload_manifest.tsv	historical_development_lncRNA;historical_development_or_paper_workload
pair	phase2_holdout_role_ordinal	1	phase2_holdout_role_ordinal	1	hq01	ht01	e6f49cc6e21c70f84017c331f2b1096a79befef92e2f90948ab60f8409e5b3fa	7b789e19134114e831f6afb8f7ce4a3502fd3158fe723ab26a22c948538c67c0	full	full	GRCh38	source_fasta_record_coordinates	722c89bbbde89fdfd961bc862abbe0f74bba6f9368974fa3e9ea5dbc4ec7757d	paper/bioinformatics/holdout_manifest.tsv;paper/bioinformatics/holdout_summary.json	canonical_hybrid_v2_regression;phase2_correctness_holdout;phase2_fixed_pilot
pair	phase2_holdout_role_ordinal	1	phase2_holdout_role_ordinal	2	hq01	ht02	e6f49cc6e21c70f84017c331f2b1096a79befef92e2f90948ab60f8409e5b3fa	dd5cf8216eb638d071cd03bd9adc122c15ee07ea696b87724b240022829e4fd9	full	full	GRCh38	source_fasta_record_coordinates	7440c3590c59d19d220cfe4c79ef10091d4c47205297dcfd2fa7948a8549d7a0	paper/bioinformatics/holdout_manifest.tsv	canonical_hybrid_v2_regression;phase2_correctness_holdout
pair	phase2_holdout_role_ordinal	10	phase2_holdout_role_ordinal	1	hq10	ht01	8357751b729a35a43767ad520b6550dacdd7f0669a58a6d3014c4b10f4f1a362	7b789e19134114e831f6afb8f7ce4a3502fd3158fe723ab26a22c948538c67c0	full	full	GRCh38	source_fasta_record_coordinates	6631079a426a41b8a1cf3f15c26d807f0e81893919dbe2e88bad95355b545efe	paper/bioinformatics/holdout_manifest.tsv	canonical_hybrid_v2_regression;phase2_correctness_holdout
pair	phase2_holdout_role_ordinal	10	phase2_holdout_role_ordinal	2	hq10	ht02	8357751b729a35a43767ad520b6550dacdd7f0669a58a6d3014c4b10f4f1a362	dd5cf8216eb638d071cd03bd9adc122c15ee07ea696b87724b240022829e4fd9	full	full	GRCh38	source_fasta_record_coordinates	b47423ab540d3ef2acdbe41e434db20e62ea54b9adb9b51a7774209646232c00	paper/bioinformatics/holdout_manifest.tsv	canonical_hybrid_v2_regression;phase2_correctness_holdout;phase2_traceback_replay
pair	phase2_holdout_role_ordinal	11	phase2_holdout_role_ordinal	1	hq11	ht01	746d6f71584aae394680e638d9651766dbeb06a1921aa885c1719f89ae29643f	7b789e19134114e831f6afb8f7ce4a3502fd3158fe723ab26a22c948538c67c0	full	full	GRCh38	source_fasta_record_coordinates	11aa5c4eab8f9634e90847085f9d103cba0cda5a05ca4529721f4c77dff7627d	paper/bioinformatics/holdout_manifest.tsv	canonical_hybrid_v2_regression;phase2_correctness_holdout
pair	phase2_holdout_role_ordinal	11	phase2_holdout_role_ordinal	2	hq11	ht02	746d6f71584aae394680e638d9651766dbeb06a1921aa885c1719f89ae29643f	dd5cf8216eb638d071cd03bd9adc122c15ee07ea696b87724b240022829e4fd9	full	full	GRCh38	source_fasta_record_coordinates	c8ce9881a7d3ae94d80df39cb633244f9758cca9027fd3217619f9408e7b8d69	paper/bioinformatics/holdout_manifest.tsv	canonical_hybrid_v2_regression;phase2_correctness_holdout;phase2_traceback_replay
pair	phase2_holdout_role_ordinal	12	phase2_holdout_role_ordinal	1	hq12	ht01	53eb65cec21000bb70085a00ae734fb72d8614b7d64dd51eaa2cb55431085643	7b789e19134114e831f6afb8f7ce4a3502fd3158fe723ab26a22c948538c67c0	full	full	GRCh38	source_fasta_record_coordinates	90d41eacfe2f7f77c898bbd3ea9aafa82e2185694ad70eed165fa6564c000b53	paper/bioinformatics/holdout_manifest.tsv	canonical_hybrid_v2_regression;phase2_correctness_holdout
pair	phase2_holdout_role_ordinal	12	phase2_holdout_role_ordinal	2	hq12	ht02	53eb65cec21000bb70085a00ae734fb72d8614b7d64dd51eaa2cb55431085643	dd5cf8216eb638d071cd03bd9adc122c15ee07ea696b87724b240022829e4fd9	full	full	GRCh38	source_fasta_record_coordinates	f40442091d4ecdfcf5e827b708cce1b772e226af83300298a6d102822846c077	paper/bioinformatics/holdout_manifest.tsv	canonical_hybrid_v2_regression;phase2_correctness_holdout
pair	phase2_holdout_role_ordinal	2	phase2_holdout_role_ordinal	1	hq02	ht01	3833a3d93d592572ba6dc1c9971182e23d0ddbd87920804db58b1fdff340903c	7b789e19134114e831f6afb8f7ce4a3502fd3158fe723ab26a22c948538c67c0	full	full	GRCh38	source_fasta_record_coordinates	f48f2c673c0491bc0127f8201af52ed37f9ac8c87334d233728636f89f8e5536	paper/bioinformatics/holdout_manifest.tsv	canonical_hybrid_v2_regression;phase2_correctness_holdout
pair	phase2_holdout_role_ordinal	2	phase2_holdout_role_ordinal	2	hq02	ht02	3833a3d93d592572ba6dc1c9971182e23d0ddbd87920804db58b1fdff340903c	dd5cf8216eb638d071cd03bd9adc122c15ee07ea696b87724b240022829e4fd9	full	full	GRCh38	source_fasta_record_coordinates	b4fd38d404eeff39513b4b5902380009cac4b9db9f81537fd05ec386c82242d4	paper/bioinformatics/holdout_manifest.tsv	canonical_hybrid_v2_regression;phase2_correctness_holdout
pair	phase2_holdout_role_ordinal	3	phase2_holdout_role_ordinal	1	hq03	ht01	d31c99fa1234e35c4d945a36b9afe96c9826f774ed6dad3c1aa44ece47d69c8a	7b789e19134114e831f6afb8f7ce4a3502fd3158fe723ab26a22c948538c67c0	full	full	GRCh38	source_fasta_record_coordinates	4e4902dfdfdacb2780bb29d5c35fd1b0686e0efa88071aee5175680e5c8e4199	paper/bioinformatics/holdout_manifest.tsv	canonical_hybrid_v2_regression;phase2_correctness_holdout
pair	phase2_holdout_role_ordinal	3	phase2_holdout_role_ordinal	2	hq03	ht02	d31c99fa1234e35c4d945a36b9afe96c9826f774ed6dad3c1aa44ece47d69c8a	dd5cf8216eb638d071cd03bd9adc122c15ee07ea696b87724b240022829e4fd9	full	full	GRCh38	source_fasta_record_coordinates	cc887cb8fe251104104509e0f306908057c5cca0bfcecd36e057064d2afa4e2b	paper/bioinformatics/holdout_manifest.tsv	canonical_hybrid_v2_regression;phase2_correctness_holdout
pair	phase2_holdout_role_ordinal	4	phase2_holdout_role_ordinal	1	hq04	ht01	37c8ac7388c1884d7329e6f1fb9eace2240da2c41d9d4c5087117b0ad4023931	7b789e19134114e831f6afb8f7ce4a3502fd3158fe723ab26a22c948538c67c0	full	full	GRCh38	source_fasta_record_coordinates	87d49321ec6ca996d34c2d958e16be4e1f6ab21fe4f2a7d69da4d0df2212ab53	paper/bioinformatics/holdout_manifest.tsv	canonical_hybrid_v2_regression;phase2_correctness_holdout
pair	phase2_holdout_role_ordinal	4	phase2_holdout_role_ordinal	2	hq04	ht02	37c8ac7388c1884d7329e6f1fb9eace2240da2c41d9d4c5087117b0ad4023931	dd5cf8216eb638d071cd03bd9adc122c15ee07ea696b87724b240022829e4fd9	full	full	GRCh38	source_fasta_record_coordinates	ba88d6b65452cb9e8da7de79497e43fde3dc28a0f1552e8654762aac91873aa4	paper/bioinformatics/holdout_manifest.tsv	canonical_hybrid_v2_regression;phase2_correctness_holdout
pair	phase2_holdout_role_ordinal	5	phase2_holdout_role_ordinal	1	hq05	ht01	7bdb574d585d18e2f4bf5613a4c0ea9f23508841ff20898cb4366e4b4fa4681b	7b789e19134114e831f6afb8f7ce4a3502fd3158fe723ab26a22c948538c67c0	full	full	GRCh38	source_fasta_record_coordinates	151f59016dc51c8d31e5f7b25c585cebd904c98254032e9b9641fa62afcc0330	paper/bioinformatics/holdout_manifest.tsv	canonical_hybrid_v2_regression;phase2_correctness_holdout
pair	phase2_holdout_role_ordinal	5	phase2_holdout_role_ordinal	2	hq05	ht02	7bdb574d585d18e2f4bf5613a4c0ea9f23508841ff20898cb4366e4b4fa4681b	dd5cf8216eb638d071cd03bd9adc122c15ee07ea696b87724b240022829e4fd9	full	full	GRCh38	source_fasta_record_coordinates	81bf72d5308f0b89a8775edc9855c1914f658fb34f1f43e01b3c1ea26bd2c554	paper/bioinformatics/holdout_manifest.tsv	canonical_hybrid_v2_regression;phase2_correctness_holdout
pair	phase2_holdout_role_ordinal	6	phase2_holdout_role_ordinal	1	hq06	ht01	62f5e96b099c0be002a286e48c3052fc7e8d3e19788878d7ffd24851a2877b94	7b789e19134114e831f6afb8f7ce4a3502fd3158fe723ab26a22c948538c67c0	full	full	GRCh38	source_fasta_record_coordinates	c5d27522a76eeb01f8cdedc6aa8da86f6e19edf768c51f1e194d13a60f9597f8	paper/bioinformatics/holdout_manifest.tsv	canonical_hybrid_v2_regression;phase2_correctness_holdout
pair	phase2_holdout_role_ordinal	6	phase2_holdout_role_ordinal	2	hq06	ht02	62f5e96b099c0be002a286e48c3052fc7e8d3e19788878d7ffd24851a2877b94	dd5cf8216eb638d071cd03bd9adc122c15ee07ea696b87724b240022829e4fd9	full	full	GRCh38	source_fasta_record_coordinates	b5b8286013626e7b45497a9358b5745674757c81cbf2c3242c3020679f1ad17e	paper/bioinformatics/holdout_manifest.tsv	canonical_hybrid_v2_regression;phase2_correctness_holdout
pair	phase2_holdout_role_ordinal	7	phase2_holdout_role_ordinal	1	hq07	ht01	e36511c9c66a68f854ffc54ed9a0b7b9e553a0871eb4b901fdc113500102b77e	7b789e19134114e831f6afb8f7ce4a3502fd3158fe723ab26a22c948538c67c0	full	full	GRCh38	source_fasta_record_coordinates	9559cf9b9e11a510d187af3f69ac5226b9a40f1cb06754dd7b9bf992ed227602	paper/bioinformatics/holdout_manifest.tsv	canonical_hybrid_v2_regression;phase2_correctness_holdout
pair	phase2_holdout_role_ordinal	7	phase2_holdout_role_ordinal	2	hq07	ht02	e36511c9c66a68f854ffc54ed9a0b7b9e553a0871eb4b901fdc113500102b77e	dd5cf8216eb638d071cd03bd9adc122c15ee07ea696b87724b240022829e4fd9	full	full	GRCh38	source_fasta_record_coordinates	e45bc8d62a54f29aa059a27bfd4aa8df3cd5f106d111f5ab7ba6c3486886c9d1	paper/bioinformatics/holdout_manifest.tsv	canonical_hybrid_v2_regression;phase2_correctness_holdout
pair	phase2_holdout_role_ordinal	8	phase2_holdout_role_ordinal	1	hq08	ht01	2a74328fdc8216b2dc1fbd01b3fc524b48777dee56eec9decde3c33c3820d451	7b789e19134114e831f6afb8f7ce4a3502fd3158fe723ab26a22c948538c67c0	full	full	GRCh38	source_fasta_record_coordinates	54346bdad09830806e70e03ab3b88a13bb383911a3eb241cdc59c7a81be8e9fe	paper/bioinformatics/holdout_manifest.tsv	canonical_hybrid_v2_regression;phase2_correctness_holdout
pair	phase2_holdout_role_ordinal	8	phase2_holdout_role_ordinal	2	hq08	ht02	2a74328fdc8216b2dc1fbd01b3fc524b48777dee56eec9decde3c33c3820d451	dd5cf8216eb638d071cd03bd9adc122c15ee07ea696b87724b240022829e4fd9	full	full	GRCh38	source_fasta_record_coordinates	aadcbbdd1129ca5aa7a801bba0bccb92349e3cbd65e07e7ae92793a80970bb2e	paper/bioinformatics/holdout_manifest.tsv	canonical_hybrid_v2_regression;phase2_correctness_holdout
pair	phase2_holdout_role_ordinal	9	phase2_holdout_role_ordinal	1	hq09	ht01	ede5247e8fb0c4217a2fa61cb621a91b0b0b111ad3510c8029863f9416ada78e	7b789e19134114e831f6afb8f7ce4a3502fd3158fe723ab26a22c948538c67c0	full	full	GRCh38	source_fasta_record_coordinates	78642645712cda36c3ab59c0a438410e0035a93047a7ee4570bac934dc44d611	paper/bioinformatics/holdout_manifest.tsv	canonical_hybrid_v2_regression;phase2_correctness_holdout
pair	phase2_holdout_role_ordinal	9	phase2_holdout_role_ordinal	2	hq09	ht02	ede5247e8fb0c4217a2fa61cb621a91b0b0b111ad3510c8029863f9416ada78e	dd5cf8216eb638d071cd03bd9adc122c15ee07ea696b87724b240022829e4fd9	full	full	GRCh38	source_fasta_record_coordinates	49c0562123fb8ddfcf7aef884a636ddb14829b9338a22b5c9332b8ddf0665a42	paper/bioinformatics/holdout_manifest.tsv	canonical_hybrid_v2_regression;phase2_correctness_holdout
pair	phase3_application_role_ordinal	1	phase3_application_role_ordinal	1	aq001	at0001	7163c0799ec5a83c190214eb3392810faa6372a5f6f968517eb73f74f289009f	add605082b3b5425dd1eb55477f3b86185a4c69bf0dcd88e35357fcf54d30a5a	full	full	GRCh38	source_fasta_record_coordinates	d6c6f9e6d68b6b1018ca70aaecc70d900a252da6b66606fc5aea4acd872d347c	paper/bioinformatics/application_pilot_receipt.json	phase3_v1_fixed_pilot
pair	phase3_application_role_ordinal	10	phase3_application_role_ordinal	18	aq010	at0018	2d07dac2e1f026644270254400984267aed9aa25a74cc90d2cedfbc7a0eb839c	2fe2f0ccd0808778a2699709160f2dba14b8f912d6d1851fa6c66ab3dc0da2c2	full	full	GRCh38	source_fasta_record_coordinates	905db5c0578c5f8171a04b29c4205d1b891dc64f3ab4dc2ac830d400731e9e61	paper/bioinformatics/canonical_hybrid_v2_holdout_workloads.tsv	canonical_hybrid_v2_fresh_holdout
pair	phase3_application_role_ordinal	10	phase3_application_role_ordinal	195	aq010	at0195	2d07dac2e1f026644270254400984267aed9aa25a74cc90d2cedfbc7a0eb839c	8c12c883ba773e1d6290eef5baa7f13d2a5bca6bd909caf6e971e0201cb860f2	full	full	GRCh38	source_fasta_record_coordinates	b18f52d9a177e4085e08f969c953e4c8393e471354c11a42e6c9e8cd5cb95d8b	paper/bioinformatics/canonical_hybrid_v2_holdout_workloads.tsv	canonical_hybrid_v2_fresh_holdout
pair	phase3_application_role_ordinal	10	phase3_application_role_ordinal	260	aq010	at0260	2d07dac2e1f026644270254400984267aed9aa25a74cc90d2cedfbc7a0eb839c	e4dd2ecb30026c7cccf72b245c30cec49ebfb006b5a3f2b7ce447b34dacd80e1	full	full	GRCh38	source_fasta_record_coordinates	4dbb357d39f0f42fe610d80f9294b51edb4c42970cf3b307041237d259c6e7fd	paper/bioinformatics/canonical_hybrid_v2_holdout_workloads.tsv	canonical_hybrid_v2_fresh_holdout
pair	phase3_application_role_ordinal	10	phase3_application_role_ordinal	652	aq010	at0652	2d07dac2e1f026644270254400984267aed9aa25a74cc90d2cedfbc7a0eb839c	e1d6e517851f9f88fe22a1995aaaac5b667423bdba3b4478911e2595dd26538c	full	full	GRCh38	source_fasta_record_coordinates	0109a752333147df0d4d6011b9be7813351a5a35972efe3a453c7eb0734cdb51	paper/bioinformatics/canonical_hybrid_v2_holdout_workloads.tsv	canonical_hybrid_v2_fresh_holdout
pair	phase3_application_role_ordinal	14	phase3_application_role_ordinal	18	aq014	at0018	9cd73ba9bb956118008456f67fd19d3c2f640c5ac6816baf6f315da3ab1d78db	2fe2f0ccd0808778a2699709160f2dba14b8f912d6d1851fa6c66ab3dc0da2c2	full	full	GRCh38	source_fasta_record_coordinates	5b26321ff177b3dc93e31e090c4643d7d77b42643e29a05d1c11bf847cde868d	paper/bioinformatics/canonical_hybrid_v2_holdout_workloads.tsv	canonical_hybrid_v2_fresh_holdout
pair	phase3_application_role_ordinal	14	phase3_application_role_ordinal	195	aq014	at0195	9cd73ba9bb956118008456f67fd19d3c2f640c5ac6816baf6f315da3ab1d78db	8c12c883ba773e1d6290eef5baa7f13d2a5bca6bd909caf6e971e0201cb860f2	full	full	GRCh38	source_fasta_record_coordinates	151c11f3b180f9aeb0130ff3cf9ac3b3de37efec4347d4d4f2d3da1adee45a62	paper/bioinformatics/canonical_hybrid_v2_holdout_workloads.tsv	canonical_hybrid_v2_fresh_holdout
pair	phase3_application_role_ordinal	14	phase3_application_role_ordinal	260	aq014	at0260	9cd73ba9bb956118008456f67fd19d3c2f640c5ac6816baf6f315da3ab1d78db	e4dd2ecb30026c7cccf72b245c30cec49ebfb006b5a3f2b7ce447b34dacd80e1	full	full	GRCh38	source_fasta_record_coordinates	c84949644a4114451ab9ea930b756002549f2d3ce57a7cc13a61bf16735ac165	paper/bioinformatics/canonical_hybrid_v2_holdout_workloads.tsv	canonical_hybrid_v2_fresh_holdout
pair	phase3_application_role_ordinal	14	phase3_application_role_ordinal	652	aq014	at0652	9cd73ba9bb956118008456f67fd19d3c2f640c5ac6816baf6f315da3ab1d78db	e1d6e517851f9f88fe22a1995aaaac5b667423bdba3b4478911e2595dd26538c	full	full	GRCh38	source_fasta_record_coordinates	543ab4a9a0da9a909a10d919aa1a7dcbf1ea07c4e9a9e7e0bb36d80166106d23	paper/bioinformatics/canonical_hybrid_v2_holdout_workloads.tsv	canonical_hybrid_v2_fresh_holdout
