workload_id	claim_id	family	role	query_id	query_path	query_sha256	query_start_nt	query_end_nt	query_length_nt	fragment_position	target_id	target_path	target_sha256	target_region	rule	baseline_mode	candidate_mode	output_contract	required_pairs	requires_gpu_count	max_wall_seconds	preset_id	preregistered	adapter_id
d02_chr22_full_output	C7	operating_envelope	descriptive	H19	H19.fa	7d94fb9515b0fa63dbe8fb62e01bb50616760ce80eeef29ec9c3893af8040f4e	0	2812	2812	full	chr22_full	.tmp/gasal2_hg38_archive_first_run/shards/chr22.fa	ce3ee1ca39356238f7aee438a40a88b4f1b9d80b316b263e16fb12402212d10f	full	0	legacy_full_output	gasal2_equivalence_first_full_output	full_tfosorted_rowset	1	1	1800	full_output_descriptive_v1	1	historical_descriptive
d03_h19_short_integrated	C7	operating_envelope	descriptive	H19	H19.fa	7d94fb9515b0fa63dbe8fb62e01bb50616760ce80eeef29ec9c3893af8040f4e	0	2812	2812	full	chr22_10m_12m	.tmp/fasim_gasal2_chr22_slice_10m_12m.fa	e36fd5e349179420d36f7a2cca4503dbe1e82ad4d7eecb88afd421f0f23099ea	full	0	segmented_archive_baseline	segmented_archive_exact_scoreinfo	shifted_grid_bounded_full_rows	1	1	1800	h19_short_integrated_descriptive_v1	1	historical_descriptive
d04_malat1_broad	C7	operating_envelope	descriptive	MALAT1	.tmp/Fasim-LongTarget/example/MALAT1/MALAT1.fa	056b43eb32bea3b841261eb771fea92f193f43a51f4d5ed6f03bb69fb30da5f1	0	8708	8708	full	malat1_dna	.tmp/Fasim-LongTarget/example/MALAT1/MALAT1-DNAseq.fa	7690187d2d4c9bec15f9e0283b307c8f99b2b67d800a1a45a14310dda08641fd	full	0	legacy_broad	gasal2_experimental_broad	fast_topk_score_stability_nt	1	1	1800	long_query_descriptive_v1	1	historical_descriptive
g01_malat1_5p_1024_chr11	C2	generalization	generalization_core	MALAT1	.tmp/Fasim-LongTarget/example/MALAT1/MALAT1.fa	056b43eb32bea3b841261eb771fea92f193f43a51f4d5ed6f03bb69fb30da5f1	0	1024	1024	5p	chr11_center_2mb	.tmp/gasal2_hg38_archive_first_run/shards/chr11.fa	5a45b92f2d9cbc494214203ea2c1b334c0b43dcacea3faf5909b86ccda1a57dd	slice:66543311-68543311	0	fasim_tfosorted_authority	gasal2_short_query_contract	fast_topk_score_stability_nt	3	1	1800	gasal2_short_topk_v1	1	direct_tfo_contract
g02_malat1_mid_2048_chr21	C2	generalization	generalization_core	MALAT1	.tmp/Fasim-LongTarget/example/MALAT1/MALAT1.fa	056b43eb32bea3b841261eb771fea92f193f43a51f4d5ed6f03bb69fb30da5f1	3330	5378	2048	mid	chr21_center_2mb	.tmp/gasal2_hg38_archive_first_run/shards/chr21.fa	35c71b68436d1a278ecb6a1e875af3ba4020738a028a7feac769a6d62790ae1f	slice:22354991-24354991	0	fasim_tfosorted_authority	gasal2_short_query_contract	fast_topk_score_stability_nt	3	1	1800	gasal2_short_topk_v1	1	direct_tfo_contract
g03_malat1_3p_2812_chr22	C2	generalization	generalization_core	MALAT1	.tmp/Fasim-LongTarget/example/MALAT1/MALAT1.fa	056b43eb32bea3b841261eb771fea92f193f43a51f4d5ed6f03bb69fb30da5f1	5896	8708	2812	3p	chr22_center_2mb	.tmp/gasal2_hg38_archive_first_run/shards/chr22.fa	ce3ee1ca39356238f7aee438a40a88b4f1b9d80b316b263e16fb12402212d10f	slice:24409234-26409234	0	fasim_tfosorted_authority	gasal2_short_query_contract	fast_topk_score_stability_nt	3	1	1800	gasal2_short_topk_v1	1	direct_tfo_contract
g04_neat1_5p_2048_chr22	C2	generalization	generalization_core	NEAT1	.tmp/Fasim-LongTarget/example/NEAT1/NEAT1.fa	0cd673f10dba5ebfd5263eb274fdd25ad71e31d63eea4f4fdc3c458d7b8753df	0	2048	2048	5p	chr22_center_2mb	.tmp/gasal2_hg38_archive_first_run/shards/chr22.fa	ce3ee1ca39356238f7aee438a40a88b4f1b9d80b316b263e16fb12402212d10f	slice:24409234-26409234	0	fasim_tfosorted_authority	gasal2_short_query_contract	fast_topk_score_stability_nt	3	1	1800	gasal2_short_topk_v1	1	direct_tfo_contract
g05_neat1_mid_2812_chr11	C2	generalization	generalization_core	NEAT1	.tmp/Fasim-LongTarget/example/NEAT1/NEAT1.fa	0cd673f10dba5ebfd5263eb274fdd25ad71e31d63eea4f4fdc3c458d7b8753df	9977	12789	2812	mid	chr11_center_2mb	.tmp/gasal2_hg38_archive_first_run/shards/chr11.fa	5a45b92f2d9cbc494214203ea2c1b334c0b43dcacea3faf5909b86ccda1a57dd	slice:66543311-68543311	0	fasim_tfosorted_authority	gasal2_short_query_contract	fast_topk_score_stability_nt	3	1	1800	gasal2_short_topk_v1	1	direct_tfo_contract
g06_neat1_3p_1024_chr21	C2	generalization	generalization_core	NEAT1	.tmp/Fasim-LongTarget/example/NEAT1/NEAT1.fa	0cd673f10dba5ebfd5263eb274fdd25ad71e31d63eea4f4fdc3c458d7b8753df	21743	22767	1024	3p	chr21_center_2mb	.tmp/gasal2_hg38_archive_first_run/shards/chr21.fa	35c71b68436d1a278ecb6a1e875af3ba4020738a028a7feac769a6d62790ae1f	slice:22354991-24354991	0	fasim_tfosorted_authority	gasal2_short_query_contract	fast_topk_score_stability_nt	3	1	1800	gasal2_short_topk_v1	1	direct_tfo_contract
g07_kcnq1ot1_5p_2812_chr21	C2	generalization	generalization_core	KCNQ1OT1	.tmp/fasim_gasal2_query_inputs/KCNQ1OT1_ENST00000597346.fa	f8883e1855017b7a28576770a8c8476a8eb1adbfcbef08d55c6dc74c49a86cc4	0	2812	2812	5p	chr21_center_2mb	.tmp/gasal2_hg38_archive_first_run/shards/chr21.fa	35c71b68436d1a278ecb6a1e875af3ba4020738a028a7feac769a6d62790ae1f	slice:22354991-24354991	0	fasim_tfosorted_authority	gasal2_short_query_contract	fast_topk_score_stability_nt	3	1	1800	gasal2_short_topk_v1	1	direct_tfo_contract
g08_kcnq1ot1_mid_1024_chr22	C2	generalization	generalization_core	KCNQ1OT1	.tmp/fasim_gasal2_query_inputs/KCNQ1OT1_ENST00000597346.fa	f8883e1855017b7a28576770a8c8476a8eb1adbfcbef08d55c6dc74c49a86cc4	45321	46345	1024	mid	chr22_center_2mb	.tmp/gasal2_hg38_archive_first_run/shards/chr22.fa	ce3ee1ca39356238f7aee438a40a88b4f1b9d80b316b263e16fb12402212d10f	slice:24409234-26409234	0	fasim_tfosorted_authority	gasal2_short_query_contract	fast_topk_score_stability_nt	3	1	1800	gasal2_short_topk_v1	1	direct_tfo_contract
g09_kcnq1ot1_3p_2048_chr11	C2	generalization	generalization_core	KCNQ1OT1	.tmp/fasim_gasal2_query_inputs/KCNQ1OT1_ENST00000597346.fa	f8883e1855017b7a28576770a8c8476a8eb1adbfcbef08d55c6dc74c49a86cc4	89619	91667	2048	3p	chr11_center_2mb	.tmp/gasal2_hg38_archive_first_run/shards/chr11.fa	5a45b92f2d9cbc494214203ea2c1b334c0b43dcacea3faf5909b86ccda1a57dd	slice:66543311-68543311	0	fasim_tfosorted_authority	gasal2_short_query_contract	fast_topk_score_stability_nt	3	1	1800	gasal2_short_topk_v1	1	direct_tfo_contract
g10_h19_full_chr11	C2	generalization	breadth	H19	H19.fa	7d94fb9515b0fa63dbe8fb62e01bb50616760ce80eeef29ec9c3893af8040f4e	0	2812	2812	full	chr11_center_2mb	.tmp/gasal2_hg38_archive_first_run/shards/chr11.fa	5a45b92f2d9cbc494214203ea2c1b334c0b43dcacea3faf5909b86ccda1a57dd	slice:66543311-68543311	0	fasim_tfosorted_authority	gasal2_short_query_contract	fast_topk_score_stability_nt	1	1	1800	gasal2_short_topk_v1	1	direct_tfo_contract
g11_h19_full_chr21	C2	generalization	breadth	H19	H19.fa	7d94fb9515b0fa63dbe8fb62e01bb50616760ce80eeef29ec9c3893af8040f4e	0	2812	2812	full	chr21_center_2mb	.tmp/gasal2_hg38_archive_first_run/shards/chr21.fa	35c71b68436d1a278ecb6a1e875af3ba4020738a028a7feac769a6d62790ae1f	slice:22354991-24354991	0	fasim_tfosorted_authority	gasal2_short_query_contract	fast_topk_score_stability_nt	1	1	1800	gasal2_short_topk_v1	1	direct_tfo_contract
g12_h19_full_chr22	C2	generalization	breadth	H19	H19.fa	7d94fb9515b0fa63dbe8fb62e01bb50616760ce80eeef29ec9c3893af8040f4e	0	2812	2812	full	chr22_center_2mb	.tmp/gasal2_hg38_archive_first_run/shards/chr22.fa	ce3ee1ca39356238f7aee438a40a88b4f1b9d80b316b263e16fb12402212d10f	slice:24409234-26409234	0	fasim_tfosorted_authority	gasal2_short_query_contract	fast_topk_score_stability_nt	1	1	1800	gasal2_short_topk_v1	1	direct_tfo_contract
g13_meg3_full_chr11	C2	generalization	breadth	MEG3	.tmp/Fasim-LongTarget/example/MEG3/MEG3-ENST00000451743.fa	c67150e68d7b4e97de72704aebcac52d2bd3342a200715484e99fff2f015e15d	0	1582	1582	full	chr11_center_2mb	.tmp/gasal2_hg38_archive_first_run/shards/chr11.fa	5a45b92f2d9cbc494214203ea2c1b334c0b43dcacea3faf5909b86ccda1a57dd	slice:66543311-68543311	0	fasim_tfosorted_authority	gasal2_short_query_contract	fast_topk_score_stability_nt	1	1	1800	gasal2_short_topk_v1	1	direct_tfo_contract
n01_malat1_full_guard	C3	long_query_guard	negative_control	MALAT1	.tmp/Fasim-LongTarget/example/MALAT1/MALAT1.fa	056b43eb32bea3b841261eb771fea92f193f43a51f4d5ed6f03bb69fb30da5f1	0	8708	8708	full	malat1_dna	.tmp/Fasim-LongTarget/example/MALAT1/MALAT1-DNAseq.fa	7690187d2d4c9bec15f9e0283b307c8f99b2b67d800a1a45a14310dda08641fd	full	0	preflight_guard	preflight_guard	preflight_guard_only	0	0	60	query_length_guard_v1	1	preflight_guard
n02_neat1_full_guard	C3	long_query_guard	negative_control	NEAT1	.tmp/Fasim-LongTarget/example/NEAT1/NEAT1.fa	0cd673f10dba5ebfd5263eb274fdd25ad71e31d63eea4f4fdc3c458d7b8753df	0	22767	22767	full	neat1_dna	.tmp/Fasim-LongTarget/example/NEAT1/NEAT1-DNAseq.fa	29dd9029bb99ecabcdf811bee210baf6f8e55d22a65bf3ac06b24b6673bbceab	full	0	preflight_guard	preflight_guard	preflight_guard_only	0	0	60	query_length_guard_v1	1	preflight_guard
n03_kcnq1ot1_full_guard	C3	long_query_guard	negative_control	KCNQ1OT1	.tmp/fasim_gasal2_query_inputs/KCNQ1OT1_ENST00000597346.fa	f8883e1855017b7a28576770a8c8476a8eb1adbfcbef08d55c6dc74c49a86cc4	0	91667	91667	full	chr22_full	.tmp/gasal2_hg38_archive_first_run/shards/chr22.fa	ce3ee1ca39356238f7aee438a40a88b4f1b9d80b316b263e16fb12402212d10f	full	0	preflight_guard	preflight_guard	preflight_guard_only	0	0	60	query_length_guard_v1	1	preflight_guard
