run_id	workload_id	claim_id	pair_id	mode	warmup	runtime_epoch	config_digest_sha256	wall_seconds	max_rss_kb	gpu_memory_peak_mib	gpu_utilization_peak_percent	receipt_path
c6_exact_h19_2mb__pair02__candidate__0	c6_exact_h19_2mb	C6	2	candidate	0	0	a0c943f19ba8f26277804c9b3341b701961716e5f05eb2e57d8ec7ff78fcc2a6	2.342106134048663	829500	19697.0	59.0	c6_exact_h19_2mb__pair02__candidate__0/run-complete.json
c6_exact_h19_2mb__pair03__baseline__0	c6_exact_h19_2mb	C6	3	baseline	0	0	ab8e708656ade504ba48b811679c418ef46162d6e054e952f5cce9cb300d8e7c	2.5218492719577625	862080	19769.0	72.0	c6_exact_h19_2mb__pair03__baseline__0/run-complete.json
c6_exact_h19_2mb__pair03__candidate__0	c6_exact_h19_2mb	C6	3	candidate	0	0	779dd1d1f6405dfc4732ddbf9af31d49b84dddd70364e7c35c0db79e4b27ca4c	2.3215317220892757	830284	19697.0	91.0	c6_exact_h19_2mb__pair03__candidate__0/run-complete.json
c6_exact_h19_2mb__warmup__baseline__0	c6_exact_h19_2mb	C6	0	baseline	1	0	a5489c302684d5b1bfd89b79c1980a561fb8d964ab55de8b77f1d315b8150e82	2.471815534052439	862900	19769.0	77.0	c6_exact_h19_2mb__warmup__baseline__0/run-complete.json
c6_exact_h19_2mb__warmup__candidate__0	c6_exact_h19_2mb	C6	0	candidate	1	0	0572651972fb83eac4a9f7b759f1fb0107fc311a06839602d1e234be786d0478	2.3311659740284085	830388	19697.0	89.0	c6_exact_h19_2mb__warmup__candidate__0/run-complete.json
c6_exact_kcnq_segment_chr22__pair01__baseline__0	c6_exact_kcnq_segment_chr22	C6	1	baseline	0	0	8d5be8177fb24d24375e3f867ec858b2e5f7a4c09cc4136da8a7f2f3c6e198a4	50.707752095069736	892844	15071.0	72.0	c6_exact_kcnq_segment_chr22__pair01__baseline__0/run-complete.json
c6_exact_kcnq_segment_chr22__pair01__candidate__0	c6_exact_kcnq_segment_chr22	C6	1	candidate	0	0	0068ada361f012fa6e49720b7b19f0829a947520ccf6a8ddd46a9b05b4273adf	45.99480522493832	869688	14999.0	85.0	c6_exact_kcnq_segment_chr22__pair01__candidate__0/run-complete.json
c6_exact_kcnq_segment_chr22__pair02__baseline__0	c6_exact_kcnq_segment_chr22	C6	2	baseline	0	0	1ffe1bddd8ae984db137d072650e3e39128a5614e0616bca6ef5f6d12699aec7	50.558674940955825	916316	15071.0	72.0	c6_exact_kcnq_segment_chr22__pair02__baseline__0/run-complete.json
c6_exact_kcnq_segment_chr22__pair02__candidate__0	c6_exact_kcnq_segment_chr22	C6	2	candidate	0	0	0b4b23f43ec917eaaedb1a7b64fffa8f06450186c9b1bc21009bf9918ac95228	44.94056227395777	871836	14999.0	88.0	c6_exact_kcnq_segment_chr22__pair02__candidate__0/run-complete.json
c6_exact_kcnq_segment_chr22__pair03__baseline__0	c6_exact_kcnq_segment_chr22	C6	3	baseline	0	0	c51fb0241816d9fea42fc156a39c0d7cc00d7bbff60ddd5e707ef90adbf6fe5c	50.520634819054976	909216	15071.0	76.0	c6_exact_kcnq_segment_chr22__pair03__baseline__0/run-complete.json
c6_exact_kcnq_segment_chr22__pair03__candidate__0	c6_exact_kcnq_segment_chr22	C6	3	candidate	0	0	2a370f4b5d018e14bc2a767d8a5ba78a5d679ea3d71f5d61f1ba2b4befcec460	45.29750227800105	869652	14999.0	89.0	c6_exact_kcnq_segment_chr22__pair03__candidate__0/run-complete.json
c6_exact_kcnq_segment_chr22__warmup__baseline__0	c6_exact_kcnq_segment_chr22	C6	0	baseline	1	0	2523c9a8380205fcc5da45a10328041210aaf0e8385982c399247a29bea8e6ba	50.45474369707517	904968	15071.0	73.0	c6_exact_kcnq_segment_chr22__warmup__baseline__0/run-complete.json
c6_exact_kcnq_segment_chr22__warmup__candidate__0	c6_exact_kcnq_segment_chr22	C6	0	candidate	1	0	fb3c8dc3382353af3c17dde85195c7ba4d02732993b9d373853622e6e5adba06	45.43646539899055	870020	14999.0	85.0	c6_exact_kcnq_segment_chr22__warmup__candidate__0/run-complete.json
