pair_id_text	workload_id	claim_id	role	query_id	query_length_nt	fragment_position	target_id	target_region	preset_id	pair_id	pair_order	runtime_epoch	runtime_commit	comparator_version	output_contract	baseline_wall_seconds	candidate_wall_seconds	paired_speedup	baseline_max_rss_kb	candidate_max_rss_kb	baseline_gpu_memory_peak_mib	candidate_gpu_memory_peak_mib	raw_score_top5_equal	raw_stability_top5_equal	raw_nt_top5_equal	clustered_score_top5_equal	clustered_stability_top5_equal	clustered_nt_top5_equal	all_three_top5_equal	boundary_ties_equal	baseline_boundary_tie_groups	candidate_boundary_tie_groups	baseline_representative_conflict_clusters	candidate_representative_conflict_clusters	full_missing_rows	full_extra_rows	candidate_active_path	gasal2_requests	traceback_requests	fallbacks	length_guard_fallbacks	runtime_batch_fallbacks	overflow_fallbacks	oom	status	decision	details_path	pair_summary_path
g04_neat1_5p_2048_chr22__pair02__0	g04_neat1_5p_2048_chr22	C2	generalization_core	NEAT1	2048	5p	chr22_center_2mb	slice:24409234-26409234	gasal2_short_topk_v1	2	BA	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	1	fast_topk_score_stability_nt	86.14028862502892	5.129333421005867	16.793661389268145	206632	749496	34.0	15071.0	1	1	1	1	1	1	1	1	0	0	61	61	41	47	1	1027937	370654	0	0	0	0	0	clean	generalization_clustered_contract_clean	pairs-v1/g04_neat1_5p_2048_chr22__pair02__0/top5-details.tsv	pairs-v1/g04_neat1_5p_2048_chr22__pair02__0/pair-summary.json
g04_neat1_5p_2048_chr22__pair03__0	g04_neat1_5p_2048_chr22	C2	generalization_core	NEAT1	2048	5p	chr22_center_2mb	slice:24409234-26409234	gasal2_short_topk_v1	3	AB	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	1	fast_topk_score_stability_nt	87.11339018307626	5.078136291005649	17.154598693495238	206892	749468	34.0	15071.0	1	1	1	1	1	1	1	1	0	0	61	61	41	47	1	1027937	370654	0	0	0	0	0	clean	generalization_clustered_contract_clean	pairs-v1/g04_neat1_5p_2048_chr22__pair03__0/top5-details.tsv	pairs-v1/g04_neat1_5p_2048_chr22__pair03__0/pair-summary.json
g05_neat1_mid_2812_chr11__pair01__0	g05_neat1_mid_2812_chr11	C2	generalization_core	NEAT1	2812	mid	chr11_center_2mb	slice:66543311-68543311	gasal2_short_topk_v1	1	AB	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	1	fast_topk_score_stability_nt	92.77881917590275	5.230780042940751	17.737090532245436	197648	863852	34.0	19769.0	0	1	1	1	1	1	1	1	2	2	111	111	151	165	1	800639	332611	0	0	0	0	0	clean	generalization_clustered_contract_clean	pairs-v1/g05_neat1_mid_2812_chr11__pair01__0/top5-details.tsv	pairs-v1/g05_neat1_mid_2812_chr11__pair01__0/pair-summary.json
g05_neat1_mid_2812_chr11__pair02__0	g05_neat1_mid_2812_chr11	C2	generalization_core	NEAT1	2812	mid	chr11_center_2mb	slice:66543311-68543311	gasal2_short_topk_v1	2	BA	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	1	fast_topk_score_stability_nt	92.84468846500386	5.279929904965684	17.584454743932305	197516	863088	34.0	19769.0	0	1	1	1	1	1	1	1	2	2	111	111	151	166	1	800624	332611	0	0	0	0	0	clean	generalization_clustered_contract_clean	pairs-v1/g05_neat1_mid_2812_chr11__pair02__0/top5-details.tsv	pairs-v1/g05_neat1_mid_2812_chr11__pair02__0/pair-summary.json
g05_neat1_mid_2812_chr11__pair03__0	g05_neat1_mid_2812_chr11	C2	generalization_core	NEAT1	2812	mid	chr11_center_2mb	slice:66543311-68543311	gasal2_short_topk_v1	3	AB	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	1	fast_topk_score_stability_nt	92.66504347894806	5.228863214026205	17.721833539339485	197536	863260	409.0	19769.0	0	1	1	1	1	1	1	1	2	2	111	111	151	165	1	800624	332611	0	0	0	0	0	clean	generalization_clustered_contract_clean	pairs-v1/g05_neat1_mid_2812_chr11__pair03__0/top5-details.tsv	pairs-v1/g05_neat1_mid_2812_chr11__pair03__0/pair-summary.json
g06_neat1_3p_1024_chr21__pair01__0	g06_neat1_3p_1024_chr21	C2	generalization_core	NEAT1	1024	3p	chr21_center_2mb	slice:22354991-24354991	gasal2_short_topk_v1	1	BA	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	1	fast_topk_score_stability_nt	50.99465015693568	3.674406784004532	13.878335512259055	207168	527740	34.0	7375.0	1	1	1	1	1	1	1	1	0	0	26	27	1	4	1	852072	316008	0	0	0	0	0	clean	generalization_clustered_contract_clean	pairs-v1/g06_neat1_3p_1024_chr21__pair01__0/top5-details.tsv	pairs-v1/g06_neat1_3p_1024_chr21__pair01__0/pair-summary.json
g06_neat1_3p_1024_chr21__pair02__0	g06_neat1_3p_1024_chr21	C2	generalization_core	NEAT1	1024	3p	chr21_center_2mb	slice:22354991-24354991	gasal2_short_topk_v1	2	AB	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	1	fast_topk_score_stability_nt	50.996518500032835	3.674829849973321	13.877246180636925	207120	527684	34.0	7375.0	1	1	1	1	1	1	1	1	0	0	26	27	1	4	1	852072	316008	0	0	0	0	0	clean	generalization_clustered_contract_clean	pairs-v1/g06_neat1_3p_1024_chr21__pair02__0/top5-details.tsv	pairs-v1/g06_neat1_3p_1024_chr21__pair02__0/pair-summary.json
g06_neat1_3p_1024_chr21__pair03__0	g06_neat1_3p_1024_chr21	C2	generalization_core	NEAT1	1024	3p	chr21_center_2mb	slice:22354991-24354991	gasal2_short_topk_v1	3	BA	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	1	fast_topk_score_stability_nt	50.89547067403328	3.7250066489214078	13.663189215721342	207416	527800	34.0	7375.0	1	1	1	1	1	1	1	1	0	0	26	27	1	4	1	852072	316008	0	0	0	0	0	clean	generalization_clustered_contract_clean	pairs-v1/g06_neat1_3p_1024_chr21__pair03__0/top5-details.tsv	pairs-v1/g06_neat1_3p_1024_chr21__pair03__0/pair-summary.json
g07_kcnq1ot1_5p_2812_chr21__pair01__0	g07_kcnq1ot1_5p_2812_chr21	C2	generalization_core	KCNQ1OT1	2812	5p	chr21_center_2mb	slice:22354991-24354991	gasal2_short_topk_v1	1	BA	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	1	fast_topk_score_stability_nt	113.25956997903995	4.852540013962425	23.340265026801067	199016	847020	34.0	19769.0	1	1	1	1	1	1	1	1	0	0	48	50	9	9	1	955115	281074	0	0	0	0	0	clean	generalization_clustered_contract_clean	pairs-v1/g07_kcnq1ot1_5p_2812_chr21__pair01__0/top5-details.tsv	pairs-v1/g07_kcnq1ot1_5p_2812_chr21__pair01__0/pair-summary.json
g07_kcnq1ot1_5p_2812_chr21__pair02__0	g07_kcnq1ot1_5p_2812_chr21	C2	generalization_core	KCNQ1OT1	2812	5p	chr21_center_2mb	slice:22354991-24354991	gasal2_short_topk_v1	2	AB	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	1	fast_topk_score_stability_nt	113.68164246098604	4.951811462990008	22.95758699834316	198832	847164	34.0	19769.0	1	1	1	1	1	1	1	1	0	0	48	50	9	9	1	955103	281074	0	0	0	0	0	clean	generalization_clustered_contract_clean	pairs-v1/g07_kcnq1ot1_5p_2812_chr21__pair02__0/top5-details.tsv	pairs-v1/g07_kcnq1ot1_5p_2812_chr21__pair02__0/pair-summary.json
g07_kcnq1ot1_5p_2812_chr21__pair03__0	g07_kcnq1ot1_5p_2812_chr21	C2	generalization_core	KCNQ1OT1	2812	5p	chr21_center_2mb	slice:22354991-24354991	gasal2_short_topk_v1	3	BA	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	1	fast_topk_score_stability_nt	113.56226034509018	4.927957448991947	23.044488821290503	199016	847200	34.0	19769.0	1	1	1	1	1	1	1	1	0	0	48	50	9	9	1	955115	281074	0	0	0	0	0	clean	generalization_clustered_contract_clean	pairs-v1/g07_kcnq1ot1_5p_2812_chr21__pair03__0/top5-details.tsv	pairs-v1/g07_kcnq1ot1_5p_2812_chr21__pair03__0/pair-summary.json
g08_kcnq1ot1_mid_1024_chr22__pair01__0	g08_kcnq1ot1_mid_1024_chr22	C2	generalization_core	KCNQ1OT1	1024	mid	chr22_center_2mb	slice:24409234-26409234	gasal2_short_topk_v1	1	AB	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	1	fast_topk_score_stability_nt	51.35487241705414	3.674576119054109	13.9757269282732	207288	543572	34.0	7135.0	1	1	1	1	1	1	1	1	0	0	46	46	27	20	1	945476	372742	0	0	0	0	0	clean	generalization_clustered_contract_clean	pairs-v1/g08_kcnq1ot1_mid_1024_chr22__pair01__0/top5-details.tsv	pairs-v1/g08_kcnq1ot1_mid_1024_chr22__pair01__0/pair-summary.json
g08_kcnq1ot1_mid_1024_chr22__pair02__0	g08_kcnq1ot1_mid_1024_chr22	C2	generalization_core	KCNQ1OT1	1024	mid	chr22_center_2mb	slice:24409234-26409234	gasal2_short_topk_v1	2	BA	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	1	fast_topk_score_stability_nt	51.406918599968776	3.6755219739861786	13.986290644922175	207392	543360	34.0	7135.0	1	1	1	1	1	1	1	1	0	0	46	46	27	20	1	945476	372742	0	0	0	0	0	clean	generalization_clustered_contract_clean	pairs-v1/g08_kcnq1ot1_mid_1024_chr22__pair02__0/top5-details.tsv	pairs-v1/g08_kcnq1ot1_mid_1024_chr22__pair02__0/pair-summary.json
g08_kcnq1ot1_mid_1024_chr22__pair03__0	g08_kcnq1ot1_mid_1024_chr22	C2	generalization_core	KCNQ1OT1	1024	mid	chr22_center_2mb	slice:24409234-26409234	gasal2_short_topk_v1	3	AB	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	1	fast_topk_score_stability_nt	51.30792710906826	3.675604533054866	13.959044464020522	207288	543616	34.0	7135.0	1	1	1	1	1	1	1	1	0	0	46	46	27	20	1	945476	372742	0	0	0	0	0	clean	generalization_clustered_contract_clean	pairs-v1/g08_kcnq1ot1_mid_1024_chr22__pair03__0/top5-details.tsv	pairs-v1/g08_kcnq1ot1_mid_1024_chr22__pair03__0/pair-summary.json
g09_kcnq1ot1_3p_2048_chr11__pair01__0	g09_kcnq1ot1_3p_2048_chr11	C2	generalization_core	KCNQ1OT1	2048	3p	chr11_center_2mb	slice:66543311-68543311	gasal2_short_topk_v1	1	BA	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	1	fast_topk_score_stability_nt	70.76214665605221	3.475161488982849	20.362261402926546	207008	715560	34.0	15071.0	1	1	1	1	1	0	0	1	0	0	81	82	43	51	1	707290	315956	0	0	0	0	0	mismatch	generalization_clustered_contract_mismatch	pairs-v1/g09_kcnq1ot1_3p_2048_chr11__pair01__0/top5-details.tsv	pairs-v1/g09_kcnq1ot1_3p_2048_chr11__pair01__0/pair-summary.json
g09_kcnq1ot1_3p_2048_chr11__pair02__0	g09_kcnq1ot1_3p_2048_chr11	C2	generalization_core	KCNQ1OT1	2048	3p	chr11_center_2mb	slice:66543311-68543311	gasal2_short_topk_v1	2	AB	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	1	fast_topk_score_stability_nt	70.81007815792691	3.4746248020092025	20.379201264257645	207032	715764	34.0	15071.0	1	1	1	1	1	0	0	1	0	0	81	82	43	51	1	707290	315956	0	0	0	0	0	mismatch	generalization_clustered_contract_mismatch	pairs-v1/g09_kcnq1ot1_3p_2048_chr11__pair02__0/top5-details.tsv	pairs-v1/g09_kcnq1ot1_3p_2048_chr11__pair02__0/pair-summary.json
g09_kcnq1ot1_3p_2048_chr11__pair03__0	g09_kcnq1ot1_3p_2048_chr11	C2	generalization_core	KCNQ1OT1	2048	3p	chr11_center_2mb	slice:66543311-68543311	gasal2_short_topk_v1	3	BA	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	1	fast_topk_score_stability_nt	70.70876164198853	3.4875565479742363	20.274584990760953	206864	715680	477.0	15071.0	1	1	1	1	1	0	0	1	0	0	81	82	43	51	1	707290	315956	0	0	0	0	0	mismatch	generalization_clustered_contract_mismatch	pairs-v1/g09_kcnq1ot1_3p_2048_chr11__pair03__0/top5-details.tsv	pairs-v1/g09_kcnq1ot1_3p_2048_chr11__pair03__0/pair-summary.json
g10_h19_full_chr11__pair01__0	g10_h19_full_chr11	C2	breadth	H19	2812	full	chr11_center_2mb	slice:66543311-68543311	gasal2_short_topk_v1	1	BA	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	1	fast_topk_score_stability_nt	116.01255977805704	5.831575772957876	19.893861332648594	198428	881352	34.0	19769.0	1	1	1	1	1	1	1	1	0	0	73	74	238	268	1	1060302	337167	0	0	0	0	0	clean	generalization_clustered_contract_clean	pairs-v1/g10_h19_full_chr11__pair01__0/top5-details.tsv	pairs-v1/g10_h19_full_chr11__pair01__0/pair-summary.json
g11_h19_full_chr21__pair01__0	g11_h19_full_chr21	C2	breadth	H19	2812	full	chr21_center_2mb	slice:22354991-24354991	gasal2_short_topk_v1	1	AB	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	1	fast_topk_score_stability_nt	114.05731801898219	5.580489463056438	20.438586753734846	198344	850652	34.0	19769.0	1	1	1	1	1	1	1	1	1	1	38	37	106	106	1	1034928	312918	0	0	0	0	0	clean	generalization_clustered_contract_clean	pairs-v1/g11_h19_full_chr21__pair01__0/top5-details.tsv	pairs-v1/g11_h19_full_chr21__pair01__0/pair-summary.json
g12_h19_full_chr22__pair01__0	g12_h19_full_chr22	C2	breadth	H19	2812	full	chr22_center_2mb	slice:24409234-26409234	gasal2_short_topk_v1	1	BA	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	1	fast_topk_score_stability_nt	115.96162993903272	5.693665407947265	20.366779856289504	198292	873012	34.0	19769.0	1	1	1	1	0	1	0	1	0	0	71	70	217	235	1	1029034	324335	0	0	0	0	0	mismatch	generalization_clustered_contract_mismatch	pairs-v1/g12_h19_full_chr22__pair01__0/top5-details.tsv	pairs-v1/g12_h19_full_chr22__pair01__0/pair-summary.json
g13_meg3_full_chr11__pair01__0	g13_meg3_full_chr11	C2	breadth	MEG3	1582	full	chr11_center_2mb	slice:66543311-68543311	gasal2_short_topk_v1	1	AB	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	1	fast_topk_score_stability_nt	70.31656244699843	4.528331688023172	15.528138681399216	221088	639324	34.0	10413.0	1	1	1	1	1	1	1	1	0	0	68	68	75	64	1	1032452	389923	0	0	0	0	0	clean	generalization_clustered_contract_clean	pairs-v1/g13_meg3_full_chr11__pair01__0/top5-details.tsv	pairs-v1/g13_meg3_full_chr11__pair01__0/pair-summary.json
