record_id	record_role	source_release	assembly	original_gene_id	original_gene_name	original_transcript_id	selection_rule	sequence_length	chromosome	strand	tss	region_start	region_end	sequence_sha256	file_sha256	path	license_note	split	status
aq011	query	GENCODE v49	GRCh38	ENSG00000302727.1	ENSG00000302727	ENST00000789242.1	GENCODE v49 lncRNA transcript on chr1-chr22 or chrX; canonical ACGT; 500-2812 nt; exclude development and Phase 2 holdout gene/sequence identities; one transcript per stable gene by level, basic tag, descending length, and transcript ID; first 50 by seeded SHA-256	530	NA	NA	NA	NA	NA	3e65c24518ac12272c54437969872a75aa37829841c1e8632b43dde78dc3caac	a7787019734f846f86b6d2eba2c7c763adedf02c3fbd7d9229db0bf699ea37f3	reproduce/bioinformatics/application_inputs/queries/aq011.fa	GENCODE project data are open access; selected derived FASTA retained with source attribution; final redistribution approval remains owner-controlled	application	preregistered_not_run
aq012	query	GENCODE v49	GRCh38	ENSG00000310042.1	ENSG00000310042	ENST00000846732.1	GENCODE v49 lncRNA transcript on chr1-chr22 or chrX; canonical ACGT; 500-2812 nt; exclude development and Phase 2 holdout gene/sequence identities; one transcript per stable gene by level, basic tag, descending length, and transcript ID; first 50 by seeded SHA-256	1649	NA	NA	NA	NA	NA	32b0f13229fae00dad3f8714d0a4f5c77b29fafaa3720d82c998a3b48a660b82	f1937d4f63c34bbfa962ed75b54255a860fc5277e84cb86724a2db81bc5e70cd	reproduce/bioinformatics/application_inputs/queries/aq012.fa	GENCODE project data are open access; selected derived FASTA retained with source attribution; final redistribution approval remains owner-controlled	application	preregistered_not_run
aq013	query	GENCODE v49	GRCh38	ENSG00000309263.1	ENSG00000309263	ENST00000839902.1	GENCODE v49 lncRNA transcript on chr1-chr22 or chrX; canonical ACGT; 500-2812 nt; exclude development and Phase 2 holdout gene/sequence identities; one transcript per stable gene by level, basic tag, descending length, and transcript ID; first 50 by seeded SHA-256	823	NA	NA	NA	NA	NA	612c111c8ad7d21f921442739cdcc9c3a0424b660d57dd4701507741515df1a6	a13aa36c935477a19e8a1f8a6c78718c3b792ce924409398952b65b69a002a6e	reproduce/bioinformatics/application_inputs/queries/aq013.fa	GENCODE project data are open access; selected derived FASTA retained with source attribution; final redistribution approval remains owner-controlled	application	preregistered_not_run
aq014	query	GENCODE v49	GRCh38	ENSG00000233542.3	ENSG00000233542	ENST00000443930.2	GENCODE v49 lncRNA transcript on chr1-chr22 or chrX; canonical ACGT; 500-2812 nt; exclude development and Phase 2 holdout gene/sequence identities; one transcript per stable gene by level, basic tag, descending length, and transcript ID; first 50 by seeded SHA-256	2283	NA	NA	NA	NA	NA	9cd73ba9bb956118008456f67fd19d3c2f640c5ac6816baf6f315da3ab1d78db	a94ce49e31f1ddeb042a8cc61ba2e493f7719077b8ded3d19a407f283612f4c5	reproduce/bioinformatics/application_inputs/queries/aq014.fa	GENCODE project data are open access; selected derived FASTA retained with source attribution; final redistribution approval remains owner-controlled	application	preregistered_not_run
aq015	query	GENCODE v49	GRCh38	ENSG00000212930.3	ENSG00000212930	ENST00000514239.1	GENCODE v49 lncRNA transcript on chr1-chr22 or chrX; canonical ACGT; 500-2812 nt; exclude development and Phase 2 holdout gene/sequence identities; one transcript per stable gene by level, basic tag, descending length, and transcript ID; first 50 by seeded SHA-256	549	NA	NA	NA	NA	NA	581a4b0990cb530031015db8c2a0c91dbd99b150aa5c699c7de8df7c32297214	d8613d74c377b8cba09c516b717c57c15cc1cb80505ed9152a1bc61090519642	reproduce/bioinformatics/application_inputs/queries/aq015.fa	GENCODE project data are open access; selected derived FASTA retained with source attribution; final redistribution approval remains owner-controlled	application	preregistered_not_run
aq016	query	GENCODE v49	GRCh38	ENSG00000287507.2	ENSG00000287507	ENST00000660472.2	GENCODE v49 lncRNA transcript on chr1-chr22 or chrX; canonical ACGT; 500-2812 nt; exclude development and Phase 2 holdout gene/sequence identities; one transcript per stable gene by level, basic tag, descending length, and transcript ID; first 50 by seeded SHA-256	784	NA	NA	NA	NA	NA	4efedde4de5b4bb436d3d639b91015003982ed33f2ee0a537a0e5bcd199a9c76	1be5f387dbc600cdeb26849376175370e9d9b315f97f4e92a2ff2397eeebafbf	reproduce/bioinformatics/application_inputs/queries/aq016.fa	GENCODE project data are open access; selected derived FASTA retained with source attribution; final redistribution approval remains owner-controlled	application	preregistered_not_run
aq017	query	GENCODE v49	GRCh38	ENSG00000273110.1	ENSG00000273110	ENST00000607963.1	GENCODE v49 lncRNA transcript on chr1-chr22 or chrX; canonical ACGT; 500-2812 nt; exclude development and Phase 2 holdout gene/sequence identities; one transcript per stable gene by level, basic tag, descending length, and transcript ID; first 50 by seeded SHA-256	681	NA	NA	NA	NA	NA	84253f9cbf74e2f0cf13bc83b9ea588baa5ffc68f051f41a85b49b6ba06cd530	4b401799ce011d24bb28b181ec1449ed10e4e8d3df76bf52ab28dd0672331dbd	reproduce/bioinformatics/application_inputs/queries/aq017.fa	GENCODE project data are open access; selected derived FASTA retained with source attribution; final redistribution approval remains owner-controlled	application	preregistered_not_run
aq018	query	GENCODE v49	GRCh38	ENSG00000304876.1	ENSG00000304876	ENST00000806856.1	GENCODE v49 lncRNA transcript on chr1-chr22 or chrX; canonical ACGT; 500-2812 nt; exclude development and Phase 2 holdout gene/sequence identities; one transcript per stable gene by level, basic tag, descending length, and transcript ID; first 50 by seeded SHA-256	946	NA	NA	NA	NA	NA	07ae97064a400ee56c62101571217354e114d7ec45a74e79d401c993e4d467ae	2b9c5eed1825b7bdbd86761e34ca2a1854f35b5f9d1527eca25fc95731cebdff	reproduce/bioinformatics/application_inputs/queries/aq018.fa	GENCODE project data are open access; selected derived FASTA retained with source attribution; final redistribution approval remains owner-controlled	application	preregistered_not_run
aq019	query	GENCODE v49	GRCh38	ENSG00000257878.4	ENSG00000257878	ENST00000824267.1	GENCODE v49 lncRNA transcript on chr1-chr22 or chrX; canonical ACGT; 500-2812 nt; exclude development and Phase 2 holdout gene/sequence identities; one transcript per stable gene by level, basic tag, descending length, and transcript ID; first 50 by seeded SHA-256	1280	NA	NA	NA	NA	NA	20c129725ac1ca8541557cb35a39460f71e46ab6d76dce1fad9c9d1afc957562	7a55053c5771097a4983070bcdf60b8adc6e5e267fd4e784ed5edb4599c16d92	reproduce/bioinformatics/application_inputs/queries/aq019.fa	GENCODE project data are open access; selected derived FASTA retained with source attribution; final redistribution approval remains owner-controlled	application	preregistered_not_run
aq020	query	GENCODE v49	GRCh38	ENSG00000258099.2	ATXN2-AS	ENST00000726958.1	GENCODE v49 lncRNA transcript on chr1-chr22 or chrX; canonical ACGT; 500-2812 nt; exclude development and Phase 2 holdout gene/sequence identities; one transcript per stable gene by level, basic tag, descending length, and transcript ID; first 50 by seeded SHA-256	985	NA	NA	NA	NA	NA	4ad571f755e8f9d8df8a9c6b199171c69c804ea0a060147bc38dddbc35c56815	48eb72a67bf5b20b5f4cbfc9cf74853f7a5b54c6c9391da50d4af8322b4129c9	reproduce/bioinformatics/application_inputs/queries/aq020.fa	GENCODE project data are open access; selected derived FASTA retained with source attribution; final redistribution approval remains owner-controlled	application	preregistered_not_run
aq021	query	GENCODE v49	GRCh38	ENSG00000307354.1	ENSG00000307354	ENST00000825369.1	GENCODE v49 lncRNA transcript on chr1-chr22 or chrX; canonical ACGT; 500-2812 nt; exclude development and Phase 2 holdout gene/sequence identities; one transcript per stable gene by level, basic tag, descending length, and transcript ID; first 50 by seeded SHA-256	1292	NA	NA	NA	NA	NA	595f0d9503a9d3259199289f61f629719285d7b110e6a5d70a3a56f1485d49f0	3118e9b41703a4fd9ff7dbec2cdf7724463615047ae3eaedb28f5b6b844eb722	reproduce/bioinformatics/application_inputs/queries/aq021.fa	GENCODE project data are open access; selected derived FASTA retained with source attribution; final redistribution approval remains owner-controlled	application	preregistered_not_run
aq022	query	GENCODE v49	GRCh38	ENSG00000310300.1	ENSG00000310300	ENST00000848887.1	GENCODE v49 lncRNA transcript on chr1-chr22 or chrX; canonical ACGT; 500-2812 nt; exclude development and Phase 2 holdout gene/sequence identities; one transcript per stable gene by level, basic tag, descending length, and transcript ID; first 50 by seeded SHA-256	843	NA	NA	NA	NA	NA	6a964af570a2001a9aa3863ea54d2c31e96fec2149302ec18fa00dc0b4a64e09	ab27216e0066101ae579dffdaf07f5bc85c5241de871d2acc576dcfa5f1b5408	reproduce/bioinformatics/application_inputs/queries/aq022.fa	GENCODE project data are open access; selected derived FASTA retained with source attribution; final redistribution approval remains owner-controlled	application	preregistered_not_run
aq023	query	GENCODE v49	GRCh38	ENSG00000286747.2	ENSG00000286747	ENST00000810343.1	GENCODE v49 lncRNA transcript on chr1-chr22 or chrX; canonical ACGT; 500-2812 nt; exclude development and Phase 2 holdout gene/sequence identities; one transcript per stable gene by level, basic tag, descending length, and transcript ID; first 50 by seeded SHA-256	1235	NA	NA	NA	NA	NA	4ff42d203e012a661dab39be1cac3ab3586e3b8164f1498ff239f1eda186f7ac	e41c200dbf7dab52ec106abb2abbb3cfdb8efd84596b9dc4b556ddb63ffc67ed	reproduce/bioinformatics/application_inputs/queries/aq023.fa	GENCODE project data are open access; selected derived FASTA retained with source attribution; final redistribution approval remains owner-controlled	application	preregistered_not_run
aq024	query	GENCODE v49	GRCh38	ENSG00000243296.3	ENSG00000243296	ENST00000758096.1	GENCODE v49 lncRNA transcript on chr1-chr22 or chrX; canonical ACGT; 500-2812 nt; exclude development and Phase 2 holdout gene/sequence identities; one transcript per stable gene by level, basic tag, descending length, and transcript ID; first 50 by seeded SHA-256	665	NA	NA	NA	NA	NA	35e4014c5d3cc9dcf1688943a760b01c05bfc3b0270b8bc9147dcfbaaa150bc6	1ef0974344417e9065e3eedcdb824defd837157734522fef26ac315c5739d0ad	reproduce/bioinformatics/application_inputs/queries/aq024.fa	GENCODE project data are open access; selected derived FASTA retained with source attribution; final redistribution approval remains owner-controlled	application	preregistered_not_run
aq025	query	GENCODE v49	GRCh38	ENSG00000298017.1	ENSG00000298017	ENST00000752496.1	GENCODE v49 lncRNA transcript on chr1-chr22 or chrX; canonical ACGT; 500-2812 nt; exclude development and Phase 2 holdout gene/sequence identities; one transcript per stable gene by level, basic tag, descending length, and transcript ID; first 50 by seeded SHA-256	1718	NA	NA	NA	NA	NA	2d04b7adfd538e04bf99cf5081e8a62cf88ca00d4209155204af2cf96c49fe73	5001cfacbfeb18115dee527970d59fb62d74d400ed85fd2af430bede13cdd2cf	reproduce/bioinformatics/application_inputs/queries/aq025.fa	GENCODE project data are open access; selected derived FASTA retained with source attribution; final redistribution approval remains owner-controlled	application	preregistered_not_run
aq026	query	GENCODE v49	GRCh38	ENSG00000307729.1	ENSG00000307729	ENST00000828258.1	GENCODE v49 lncRNA transcript on chr1-chr22 or chrX; canonical ACGT; 500-2812 nt; exclude development and Phase 2 holdout gene/sequence identities; one transcript per stable gene by level, basic tag, descending length, and transcript ID; first 50 by seeded SHA-256	645	NA	NA	NA	NA	NA	914804e4145e4194fadbb539259f14504de2c9a1ab345c76b3e7c2ce6758a2d4	3443af316b437196853489744ffb0157a6a89647b2441409d9ba594e0a2ed9d2	reproduce/bioinformatics/application_inputs/queries/aq026.fa	GENCODE project data are open access; selected derived FASTA retained with source attribution; final redistribution approval remains owner-controlled	application	preregistered_not_run
aq027	query	GENCODE v49	GRCh38	ENSG00000293881.1	ENSG00000293881	ENST00000719606.1	GENCODE v49 lncRNA transcript on chr1-chr22 or chrX; canonical ACGT; 500-2812 nt; exclude development and Phase 2 holdout gene/sequence identities; one transcript per stable gene by level, basic tag, descending length, and transcript ID; first 50 by seeded SHA-256	1474	NA	NA	NA	NA	NA	7b89384316e388fd9b1784c76c0f5d846600080ffd1ad0ee7c8082a12fc9a839	e673dc5bce3fc42ad32a55526d064136e6871f0f4175e854adc2cc0ffca771d8	reproduce/bioinformatics/application_inputs/queries/aq027.fa	GENCODE project data are open access; selected derived FASTA retained with source attribution; final redistribution approval remains owner-controlled	application	preregistered_not_run
aq028	query	GENCODE v49	GRCh38	ENSG00000216895.9	RBM33-DT	ENST00000460022.6	GENCODE v49 lncRNA transcript on chr1-chr22 or chrX; canonical ACGT; 500-2812 nt; exclude development and Phase 2 holdout gene/sequence identities; one transcript per stable gene by level, basic tag, descending length, and transcript ID; first 50 by seeded SHA-256	1356	NA	NA	NA	NA	NA	698ff8712628d24deda22f33b862c7e6e482be21043a889363706953eaa4502a	906f84e0728ac6d3f4cedbac6fe4e0286929b6de02f8be9ae981870f2c0174aa	reproduce/bioinformatics/application_inputs/queries/aq028.fa	GENCODE project data are open access; selected derived FASTA retained with source attribution; final redistribution approval remains owner-controlled	application	preregistered_not_run
aq029	query	GENCODE v49	GRCh38	ENSG00000285587.2	ENSG00000285587	ENST00000761966.1	GENCODE v49 lncRNA transcript on chr1-chr22 or chrX; canonical ACGT; 500-2812 nt; exclude development and Phase 2 holdout gene/sequence identities; one transcript per stable gene by level, basic tag, descending length, and transcript ID; first 50 by seeded SHA-256	1442	NA	NA	NA	NA	NA	1406439d8a9e2ca80a36ca96f6fa629a01577d21802de4f3945447243c5de167	d21336efb134551941701909602bbc2471722b1e40c56b61bdaa0997e4733faa	reproduce/bioinformatics/application_inputs/queries/aq029.fa	GENCODE project data are open access; selected derived FASTA retained with source attribution; final redistribution approval remains owner-controlled	application	preregistered_not_run
aq030	query	GENCODE v49	GRCh38	ENSG00000273428.5	ENSG00000273428	ENST00000607893.2	GENCODE v49 lncRNA transcript on chr1-chr22 or chrX; canonical ACGT; 500-2812 nt; exclude development and Phase 2 holdout gene/sequence identities; one transcript per stable gene by level, basic tag, descending length, and transcript ID; first 50 by seeded SHA-256	1978	NA	NA	NA	NA	NA	f84d07e2ec2ec36fa662c7d25b903bb9dee98880c1eb20636bb5b2409aa74999	4d02402f1321f65de0a0c95f9102b3b464cb2f4dae0d6a2e066ea27320c5044b	reproduce/bioinformatics/application_inputs/queries/aq030.fa	GENCODE project data are open access; selected derived FASTA retained with source attribution; final redistribution approval remains owner-controlled	application	preregistered_not_run
aq031	query	GENCODE v49	GRCh38	ENSG00000226063.1	ENSG00000226063	ENST00000442323.1	GENCODE v49 lncRNA transcript on chr1-chr22 or chrX; canonical ACGT; 500-2812 nt; exclude development and Phase 2 holdout gene/sequence identities; one transcript per stable gene by level, basic tag, descending length, and transcript ID; first 50 by seeded SHA-256	580	NA	NA	NA	NA	NA	75753a1abd63afff81e48ba8c986ae6de82075f47c3cc193e22d92adcbf3ac14	2dd2656f3537659005b4cda631665094a16377d2588485c97dca7bee881d84f9	reproduce/bioinformatics/application_inputs/queries/aq031.fa	GENCODE project data are open access; selected derived FASTA retained with source attribution; final redistribution approval remains owner-controlled	application	preregistered_not_run
aq032	query	GENCODE v49	GRCh38	ENSG00000307738.1	ENSG00000307738	ENST00000828393.1	GENCODE v49 lncRNA transcript on chr1-chr22 or chrX; canonical ACGT; 500-2812 nt; exclude development and Phase 2 holdout gene/sequence identities; one transcript per stable gene by level, basic tag, descending length, and transcript ID; first 50 by seeded SHA-256	989	NA	NA	NA	NA	NA	4e6aa19a8e2bf45662e3a42f71b83dbe2a64a12bbf3e0ea9ad45889b53228bcb	16452ad70991c0e030fc28012e68223c12553ffefb1331fa7baeb44eed5b4a6c	reproduce/bioinformatics/application_inputs/queries/aq032.fa	GENCODE project data are open access; selected derived FASTA retained with source attribution; final redistribution approval remains owner-controlled	application	preregistered_not_run
aq033	query	GENCODE v49	GRCh38	ENSG00000227880.2	ENSG00000227880	ENST00000440477.1	GENCODE v49 lncRNA transcript on chr1-chr22 or chrX; canonical ACGT; 500-2812 nt; exclude development and Phase 2 holdout gene/sequence identities; one transcript per stable gene by level, basic tag, descending length, and transcript ID; first 50 by seeded SHA-256	770	NA	NA	NA	NA	NA	8a339029600f81e08c4c1c0652de1466837e863dee6aee2dcd0e3f2b3c40231e	769152ca4da1bf99120edede88a0176737b94a6d9c49e75d4443f23439a61aec	reproduce/bioinformatics/application_inputs/queries/aq033.fa	GENCODE project data are open access; selected derived FASTA retained with source attribution; final redistribution approval remains owner-controlled	application	preregistered_not_run
aq034	query	GENCODE v49	GRCh38	ENSG00000302291.1	ENSG00000302291	ENST00000785572.1	GENCODE v49 lncRNA transcript on chr1-chr22 or chrX; canonical ACGT; 500-2812 nt; exclude development and Phase 2 holdout gene/sequence identities; one transcript per stable gene by level, basic tag, descending length, and transcript ID; first 50 by seeded SHA-256	998	NA	NA	NA	NA	NA	f59432c9d3565ef4f391bc46355c30c2c303f356129843acc4f89168d8d28ada	8eb12a1af77b9543c724c37b794d81e93589196ec3677b7b45876dae76f6a380	reproduce/bioinformatics/application_inputs/queries/aq034.fa	GENCODE project data are open access; selected derived FASTA retained with source attribution; final redistribution approval remains owner-controlled	application	preregistered_not_run
aq035	query	GENCODE v49	GRCh38	ENSG00000305018.1	ENSG00000305018	ENST00000807776.1	GENCODE v49 lncRNA transcript on chr1-chr22 or chrX; canonical ACGT; 500-2812 nt; exclude development and Phase 2 holdout gene/sequence identities; one transcript per stable gene by level, basic tag, descending length, and transcript ID; first 50 by seeded SHA-256	638	NA	NA	NA	NA	NA	1f74148810c50895449b8411bc133bf707f83084210be80affc41312de16b2cb	03c9bfd697afb54e96e14382b400f92c7bfe36fbd78c18cbe51094c19aa4842e	reproduce/bioinformatics/application_inputs/queries/aq035.fa	GENCODE project data are open access; selected derived FASTA retained with source attribution; final redistribution approval remains owner-controlled	application	preregistered_not_run
aq036	query	GENCODE v49	GRCh38	ENSG00000298582.1	ENSG00000298582	ENST00000756651.1	GENCODE v49 lncRNA transcript on chr1-chr22 or chrX; canonical ACGT; 500-2812 nt; exclude development and Phase 2 holdout gene/sequence identities; one transcript per stable gene by level, basic tag, descending length, and transcript ID; first 50 by seeded SHA-256	1687	NA	NA	NA	NA	NA	8e5afb1a2b6c8db6fb222319675e011ce25ab0809d9eeb5a55614fe33e39e891	65ca13e873d24f51c2e35ee749182051b2578a2c34aa6140e8cad43686b73af3	reproduce/bioinformatics/application_inputs/queries/aq036.fa	GENCODE project data are open access; selected derived FASTA retained with source attribution; final redistribution approval remains owner-controlled	application	preregistered_not_run
aq037	query	GENCODE v49	GRCh38	ENSG00000294410.1	ENSG00000294410	ENST00000723433.1	GENCODE v49 lncRNA transcript on chr1-chr22 or chrX; canonical ACGT; 500-2812 nt; exclude development and Phase 2 holdout gene/sequence identities; one transcript per stable gene by level, basic tag, descending length, and transcript ID; first 50 by seeded SHA-256	1353	NA	NA	NA	NA	NA	b2655e83b7c6d832e028a1817ab1d86f519f26e173e12a7f1d124c79be1eaff4	6569b17dc8dbb26fe0c0ec4e7a0b2271fa207903e76fb234f03b91cb6957f245	reproduce/bioinformatics/application_inputs/queries/aq037.fa	GENCODE project data are open access; selected derived FASTA retained with source attribution; final redistribution approval remains owner-controlled	application	preregistered_not_run
aq038	query	GENCODE v49	GRCh38	ENSG00000289987.1	ENSG00000289987	ENST00000702329.1	GENCODE v49 lncRNA transcript on chr1-chr22 or chrX; canonical ACGT; 500-2812 nt; exclude development and Phase 2 holdout gene/sequence identities; one transcript per stable gene by level, basic tag, descending length, and transcript ID; first 50 by seeded SHA-256	766	NA	NA	NA	NA	NA	6a023206231290a6707f066bf8b57ca4183862caa7485d61644f5f86b8aaf528	a3915527458fbc67068b8cba49e885478a498f3e0074bf5dab8da79ecc4172ee	reproduce/bioinformatics/application_inputs/queries/aq038.fa	GENCODE project data are open access; selected derived FASTA retained with source attribution; final redistribution approval remains owner-controlled	application	preregistered_not_run
aq039	query	GENCODE v49	GRCh38	ENSG00000250125.6	LINC02232	ENST00000670052.2	GENCODE v49 lncRNA transcript on chr1-chr22 or chrX; canonical ACGT; 500-2812 nt; exclude development and Phase 2 holdout gene/sequence identities; one transcript per stable gene by level, basic tag, descending length, and transcript ID; first 50 by seeded SHA-256	1581	NA	NA	NA	NA	NA	05e2731f2bb1df13c0680ba02d449943c17ef11ce340aa85838c949cb69eefa8	f6c707dd58c095c73bbfb236e707f21c793ffbbfcfafceaea5f685cc0169055e	reproduce/bioinformatics/application_inputs/queries/aq039.fa	GENCODE project data are open access; selected derived FASTA retained with source attribution; final redistribution approval remains owner-controlled	application	preregistered_not_run
