attempt_id	execution_stage	arm	mode	scope	query_id	target_id	repeat_id	order	contract	manifest_sha256	runner_commit	runner_sha256	worker_count	gpu_assignment	backend_timeout_seconds	total_budget_seconds	retry_policy	claim_role	formal_source_data	expected_artifact_root	command_template	status
p3repeat_r01_b	formal_repeat	B	fast-experimental	10x20	SUBSET_10	SUBSET_20	1	2	auto	e8c5441c36db8fb4ae28492aee20f7e1af5f357148216ef58fae03c7f52c78bc	f1f9f63506c1d853da968d5f518c1ff2b8376345	0fa369148b1e9cb081368b716e470b0c7aad9956ef7e50fb3e881921a490cd98	2	worker0=GPU0;worker1=GPU1;pair_index_mod_2	3600	86400	none	descriptive_negative_only	1	.paper-artifacts/bioinformatics-phase3-application-v1/formal-repeat/p3repeat_r01_b	python3 scripts/gasal2_longtarget.py --mode fast-experimental --contract auto --query {query_path} --target {target_path} --output {pair_output} --report {pair_run_report} --rule 0 --triplex-preset normal --top-k 5 --assembly GRCh38 --annotation-release 'GENCODE v49' --timeout 3600 --authority-binary fasim_longtarget_x86 --candidate-binary fasim_longtarget_gasal2 --comparator scripts/compare_fasim_segmented_contract.py	preregistered_not_run
p3repeat_r01_a	formal_repeat	A	cpu-authority	10x20	SUBSET_10	SUBSET_20	1	3	all-ranked-top5	e8c5441c36db8fb4ae28492aee20f7e1af5f357148216ef58fae03c7f52c78bc	f1f9f63506c1d853da968d5f518c1ff2b8376345	0fa369148b1e9cb081368b716e470b0c7aad9956ef7e50fb3e881921a490cd98	2	worker0=GPU0;worker1=GPU1;pair_index_mod_2	3600	86400	none	descriptive_negative_only	1	.paper-artifacts/bioinformatics-phase3-application-v1/formal-repeat/p3repeat_r01_a	python3 scripts/gasal2_longtarget.py --mode cpu-authority --contract all-ranked-top5 --query {query_path} --target {target_path} --output {pair_output} --report {pair_run_report} --rule 0 --triplex-preset normal --top-k 5 --assembly GRCh38 --annotation-release 'GENCODE v49' --timeout 3600 --authority-binary fasim_longtarget_x86 --candidate-binary fasim_longtarget_gasal2 --comparator scripts/compare_fasim_segmented_contract.py	preregistered_not_run
p3repeat_r02_a	formal_repeat	A	cpu-authority	10x20	SUBSET_10	SUBSET_20	2	1	all-ranked-top5	e8c5441c36db8fb4ae28492aee20f7e1af5f357148216ef58fae03c7f52c78bc	f1f9f63506c1d853da968d5f518c1ff2b8376345	0fa369148b1e9cb081368b716e470b0c7aad9956ef7e50fb3e881921a490cd98	2	worker0=GPU0;worker1=GPU1;pair_index_mod_2	3600	86400	none	descriptive_negative_only	1	.paper-artifacts/bioinformatics-phase3-application-v1/formal-repeat/p3repeat_r02_a	python3 scripts/gasal2_longtarget.py --mode cpu-authority --contract all-ranked-top5 --query {query_path} --target {target_path} --output {pair_output} --report {pair_run_report} --rule 0 --triplex-preset normal --top-k 5 --assembly GRCh38 --annotation-release 'GENCODE v49' --timeout 3600 --authority-binary fasim_longtarget_x86 --candidate-binary fasim_longtarget_gasal2 --comparator scripts/compare_fasim_segmented_contract.py	preregistered_not_run
p3repeat_r02_b	formal_repeat	B	fast-experimental	10x20	SUBSET_10	SUBSET_20	2	2	auto	e8c5441c36db8fb4ae28492aee20f7e1af5f357148216ef58fae03c7f52c78bc	f1f9f63506c1d853da968d5f518c1ff2b8376345	0fa369148b1e9cb081368b716e470b0c7aad9956ef7e50fb3e881921a490cd98	2	worker0=GPU0;worker1=GPU1;pair_index_mod_2	3600	86400	none	descriptive_negative_only	1	.paper-artifacts/bioinformatics-phase3-application-v1/formal-repeat/p3repeat_r02_b	python3 scripts/gasal2_longtarget.py --mode fast-experimental --contract auto --query {query_path} --target {target_path} --output {pair_output} --report {pair_run_report} --rule 0 --triplex-preset normal --top-k 5 --assembly GRCh38 --annotation-release 'GENCODE v49' --timeout 3600 --authority-binary fasim_longtarget_x86 --candidate-binary fasim_longtarget_gasal2 --comparator scripts/compare_fasim_segmented_contract.py	preregistered_not_run
p3repeat_r02_c	formal_repeat	C	safe	10x20	SUBSET_10	SUBSET_20	2	3	all-ranked-top5	e8c5441c36db8fb4ae28492aee20f7e1af5f357148216ef58fae03c7f52c78bc	f1f9f63506c1d853da968d5f518c1ff2b8376345	0fa369148b1e9cb081368b716e470b0c7aad9956ef7e50fb3e881921a490cd98	2	worker0=GPU0;worker1=GPU1;pair_index_mod_2	3600	86400	none	descriptive_negative_only	1	.paper-artifacts/bioinformatics-phase3-application-v1/formal-repeat/p3repeat_r02_c	python3 scripts/gasal2_longtarget.py --mode safe --contract all-ranked-top5 --query {query_path} --target {target_path} --output {pair_output} --report {pair_run_report} --rule 0 --triplex-preset normal --top-k 5 --assembly GRCh38 --annotation-release 'GENCODE v49' --timeout 3600 --authority-binary fasim_longtarget_x86 --candidate-binary fasim_longtarget_gasal2 --comparator scripts/compare_fasim_segmented_contract.py	preregistered_not_run
p3repeat_r03_c	formal_repeat	C	safe	10x20	SUBSET_10	SUBSET_20	3	1	all-ranked-top5	e8c5441c36db8fb4ae28492aee20f7e1af5f357148216ef58fae03c7f52c78bc	f1f9f63506c1d853da968d5f518c1ff2b8376345	0fa369148b1e9cb081368b716e470b0c7aad9956ef7e50fb3e881921a490cd98	2	worker0=GPU0;worker1=GPU1;pair_index_mod_2	3600	86400	none	descriptive_negative_only	1	.paper-artifacts/bioinformatics-phase3-application-v1/formal-repeat/p3repeat_r03_c	python3 scripts/gasal2_longtarget.py --mode safe --contract all-ranked-top5 --query {query_path} --target {target_path} --output {pair_output} --report {pair_run_report} --rule 0 --triplex-preset normal --top-k 5 --assembly GRCh38 --annotation-release 'GENCODE v49' --timeout 3600 --authority-binary fasim_longtarget_x86 --candidate-binary fasim_longtarget_gasal2 --comparator scripts/compare_fasim_segmented_contract.py	preregistered_not_run
p3repeat_r03_b	formal_repeat	B	fast-experimental	10x20	SUBSET_10	SUBSET_20	3	2	auto	e8c5441c36db8fb4ae28492aee20f7e1af5f357148216ef58fae03c7f52c78bc	f1f9f63506c1d853da968d5f518c1ff2b8376345	0fa369148b1e9cb081368b716e470b0c7aad9956ef7e50fb3e881921a490cd98	2	worker0=GPU0;worker1=GPU1;pair_index_mod_2	3600	86400	none	descriptive_negative_only	1	.paper-artifacts/bioinformatics-phase3-application-v1/formal-repeat/p3repeat_r03_b	python3 scripts/gasal2_longtarget.py --mode fast-experimental --contract auto --query {query_path} --target {target_path} --output {pair_output} --report {pair_run_report} --rule 0 --triplex-preset normal --top-k 5 --assembly GRCh38 --annotation-release 'GENCODE v49' --timeout 3600 --authority-binary fasim_longtarget_x86 --candidate-binary fasim_longtarget_gasal2 --comparator scripts/compare_fasim_segmented_contract.py	preregistered_not_run
p3repeat_r03_a	formal_repeat	A	cpu-authority	10x20	SUBSET_10	SUBSET_20	3	3	all-ranked-top5	e8c5441c36db8fb4ae28492aee20f7e1af5f357148216ef58fae03c7f52c78bc	f1f9f63506c1d853da968d5f518c1ff2b8376345	0fa369148b1e9cb081368b716e470b0c7aad9956ef7e50fb3e881921a490cd98	2	worker0=GPU0;worker1=GPU1;pair_index_mod_2	3600	86400	none	descriptive_negative_only	1	.paper-artifacts/bioinformatics-phase3-application-v1/formal-repeat/p3repeat_r03_a	python3 scripts/gasal2_longtarget.py --mode cpu-authority --contract all-ranked-top5 --query {query_path} --target {target_path} --output {pair_output} --report {pair_run_report} --rule 0 --triplex-preset normal --top-k 5 --assembly GRCh38 --annotation-release 'GENCODE v49' --timeout 3600 --authority-binary fasim_longtarget_x86 --candidate-binary fasim_longtarget_gasal2 --comparator scripts/compare_fasim_segmented_contract.py	preregistered_not_run
p3repeat_r04_a	formal_repeat	A	cpu-authority	10x20	SUBSET_10	SUBSET_20	4	1	all-ranked-top5	e8c5441c36db8fb4ae28492aee20f7e1af5f357148216ef58fae03c7f52c78bc	f1f9f63506c1d853da968d5f518c1ff2b8376345	0fa369148b1e9cb081368b716e470b0c7aad9956ef7e50fb3e881921a490cd98	2	worker0=GPU0;worker1=GPU1;pair_index_mod_2	3600	86400	none	descriptive_negative_only	1	.paper-artifacts/bioinformatics-phase3-application-v1/formal-repeat/p3repeat_r04_a	python3 scripts/gasal2_longtarget.py --mode cpu-authority --contract all-ranked-top5 --query {query_path} --target {target_path} --output {pair_output} --report {pair_run_report} --rule 0 --triplex-preset normal --top-k 5 --assembly GRCh38 --annotation-release 'GENCODE v49' --timeout 3600 --authority-binary fasim_longtarget_x86 --candidate-binary fasim_longtarget_gasal2 --comparator scripts/compare_fasim_segmented_contract.py	preregistered_not_run
p3repeat_r04_b	formal_repeat	B	fast-experimental	10x20	SUBSET_10	SUBSET_20	4	2	auto	e8c5441c36db8fb4ae28492aee20f7e1af5f357148216ef58fae03c7f52c78bc	f1f9f63506c1d853da968d5f518c1ff2b8376345	0fa369148b1e9cb081368b716e470b0c7aad9956ef7e50fb3e881921a490cd98	2	worker0=GPU0;worker1=GPU1;pair_index_mod_2	3600	86400	none	descriptive_negative_only	1	.paper-artifacts/bioinformatics-phase3-application-v1/formal-repeat/p3repeat_r04_b	python3 scripts/gasal2_longtarget.py --mode fast-experimental --contract auto --query {query_path} --target {target_path} --output {pair_output} --report {pair_run_report} --rule 0 --triplex-preset normal --top-k 5 --assembly GRCh38 --annotation-release 'GENCODE v49' --timeout 3600 --authority-binary fasim_longtarget_x86 --candidate-binary fasim_longtarget_gasal2 --comparator scripts/compare_fasim_segmented_contract.py	preregistered_not_run
p3repeat_r04_c	formal_repeat	C	safe	10x20	SUBSET_10	SUBSET_20	4	3	all-ranked-top5	e8c5441c36db8fb4ae28492aee20f7e1af5f357148216ef58fae03c7f52c78bc	f1f9f63506c1d853da968d5f518c1ff2b8376345	0fa369148b1e9cb081368b716e470b0c7aad9956ef7e50fb3e881921a490cd98	2	worker0=GPU0;worker1=GPU1;pair_index_mod_2	3600	86400	none	descriptive_negative_only	1	.paper-artifacts/bioinformatics-phase3-application-v1/formal-repeat/p3repeat_r04_c	python3 scripts/gasal2_longtarget.py --mode safe --contract all-ranked-top5 --query {query_path} --target {target_path} --output {pair_output} --report {pair_run_report} --rule 0 --triplex-preset normal --top-k 5 --assembly GRCh38 --annotation-release 'GENCODE v49' --timeout 3600 --authority-binary fasim_longtarget_x86 --candidate-binary fasim_longtarget_gasal2 --comparator scripts/compare_fasim_segmented_contract.py	preregistered_not_run
p3repeat_r05_c	formal_repeat	C	safe	10x20	SUBSET_10	SUBSET_20	5	1	all-ranked-top5	e8c5441c36db8fb4ae28492aee20f7e1af5f357148216ef58fae03c7f52c78bc	f1f9f63506c1d853da968d5f518c1ff2b8376345	0fa369148b1e9cb081368b716e470b0c7aad9956ef7e50fb3e881921a490cd98	2	worker0=GPU0;worker1=GPU1;pair_index_mod_2	3600	86400	none	descriptive_negative_only	1	.paper-artifacts/bioinformatics-phase3-application-v1/formal-repeat/p3repeat_r05_c	python3 scripts/gasal2_longtarget.py --mode safe --contract all-ranked-top5 --query {query_path} --target {target_path} --output {pair_output} --report {pair_run_report} --rule 0 --triplex-preset normal --top-k 5 --assembly GRCh38 --annotation-release 'GENCODE v49' --timeout 3600 --authority-binary fasim_longtarget_x86 --candidate-binary fasim_longtarget_gasal2 --comparator scripts/compare_fasim_segmented_contract.py	preregistered_not_run
p3repeat_r05_b	formal_repeat	B	fast-experimental	10x20	SUBSET_10	SUBSET_20	5	2	auto	e8c5441c36db8fb4ae28492aee20f7e1af5f357148216ef58fae03c7f52c78bc	f1f9f63506c1d853da968d5f518c1ff2b8376345	0fa369148b1e9cb081368b716e470b0c7aad9956ef7e50fb3e881921a490cd98	2	worker0=GPU0;worker1=GPU1;pair_index_mod_2	3600	86400	none	descriptive_negative_only	1	.paper-artifacts/bioinformatics-phase3-application-v1/formal-repeat/p3repeat_r05_b	python3 scripts/gasal2_longtarget.py --mode fast-experimental --contract auto --query {query_path} --target {target_path} --output {pair_output} --report {pair_run_report} --rule 0 --triplex-preset normal --top-k 5 --assembly GRCh38 --annotation-release 'GENCODE v49' --timeout 3600 --authority-binary fasim_longtarget_x86 --candidate-binary fasim_longtarget_gasal2 --comparator scripts/compare_fasim_segmented_contract.py	preregistered_not_run
p3repeat_r05_a	formal_repeat	A	cpu-authority	10x20	SUBSET_10	SUBSET_20	5	3	all-ranked-top5	e8c5441c36db8fb4ae28492aee20f7e1af5f357148216ef58fae03c7f52c78bc	f1f9f63506c1d853da968d5f518c1ff2b8376345	0fa369148b1e9cb081368b716e470b0c7aad9956ef7e50fb3e881921a490cd98	2	worker0=GPU0;worker1=GPU1;pair_index_mod_2	3600	86400	none	descriptive_negative_only	1	.paper-artifacts/bioinformatics-phase3-application-v1/formal-repeat/p3repeat_r05_a	python3 scripts/gasal2_longtarget.py --mode cpu-authority --contract all-ranked-top5 --query {query_path} --target {target_path} --output {pair_output} --report {pair_run_report} --rule 0 --triplex-preset normal --top-k 5 --assembly GRCh38 --annotation-release 'GENCODE v49' --timeout 3600 --authority-binary fasim_longtarget_x86 --candidate-binary fasim_longtarget_gasal2 --comparator scripts/compare_fasim_segmented_contract.py	preregistered_not_run
