gene_id	gene_symbols	exclusion_sources	exclusion_reasons
ENSG00000233098	CCDC144NL-AS1	human_trial52_longest	long_query_segmented_development_panel
ENSG00000235531	MSC-AS1	human_trial52_longest	long_query_segmented_development_panel
ENSG00000236778	INTS6-AS1	human_trial52_longest	long_query_segmented_development_panel
ENSG00000236790	LINC00299	human_trial52_longest,prior_production_target_attempt_snapshot	long_query_segmented_development_panel,prior_production_target_partial_or_planned
ENSG00000237945	LINC00649	human_trial52_longest	long_query_segmented_development_panel
ENSG00000242759	LINC00882	human_trial52_longest,prior_production_target_attempt_snapshot	long_query_segmented_development_panel,prior_production_target_completed,prior_production_target_partial_or_planned
ENSG00000247199	AC011346.1	human_trial52_longest	long_query_segmented_development_panel
ENSG00000247556	OIP5-AS1	human_trial52_longest,prior_production_target_attempt_snapshot	long_query_segmented_development_panel,prior_production_target_completed
ENSG00000248544		prior_production_target_attempt_snapshot	prior_production_target_partial_or_planned
ENSG00000248994	AC124852.1	human_trial52_longest,prior_production_target_attempt_snapshot	long_query_segmented_development_panel,prior_production_target_completed
ENSG00000250208	FZD10-AS1	human_trial52_longest	long_query_segmented_development_panel
ENSG00000250802	ZBED3-AS1	human_trial52_longest,prior_production_target_attempt_snapshot	long_query_segmented_development_panel,prior_production_target_completed,prior_production_target_partial_or_planned
ENSG00000250903	GMDS-DT	human_trial52_longest,prior_production_target_attempt_snapshot	long_query_segmented_development_panel,prior_production_target_completed,prior_production_target_partial_or_planned
ENSG00000251600	AC107223.1	human_trial52_longest,prior_production_target_attempt_snapshot	long_query_segmented_development_panel,prior_production_target_partial_or_planned
ENSG00000254101	LINC02055	human_trial52_longest,prior_production_target_attempt_snapshot	long_query_segmented_development_panel,prior_production_target_completed,prior_production_target_partial_or_planned
ENSG00000256424		prior_production_target_attempt_snapshot	prior_production_target_partial_or_planned
ENSG00000258735		prior_production_target_attempt_snapshot	prior_production_target_partial_or_planned
ENSG00000259673	IQCH-AS1	human_trial52_longest	long_query_segmented_development_panel
ENSG00000259905	PWRN1	human_trial52_longest,prior_production_target_attempt_snapshot	long_query_segmented_development_panel,prior_production_target_completed,prior_production_target_partial_or_planned
ENSG00000267107	PCAT19	explicit_gpu_development_ledger_v1,prior_production_target_attempt_snapshot	hybrid_length_promotion_fixture,prior_production_target_partial_or_planned
ENSG00000267123	SCAT1	segment_grid_consistency	segment_grid_development_panel
ENSG00000271913	AL035530.2	explicit_gpu_development_ledger_v1,human_trial52_longest,prior_production_target_attempt_snapshot	hybrid_length_promotion_fixture,long_query_segmented_development_panel,prior_production_target_completed
ENSG00000273507	AL354809.1	human_trial52_longest,prior_production_target_attempt_snapshot	long_query_segmented_development_panel,prior_production_target_partial_or_planned
ENSG00000279072	AC118758.2	human_trial52_longest	long_query_segmented_development_panel
ENSG00000279110	AL022323.3	human_trial52_longest	long_query_segmented_development_panel
ENSG00000280109		prior_production_target_attempt_snapshot	prior_production_target_partial_or_planned
ENSG00000280739	EIF1B-AS1	human_trial52_longest	long_query_segmented_development_panel
ENSG00000283674	AC068587.4	human_trial52_longest	long_query_segmented_development_panel
ENSG00000284708		prior_production_target_attempt_snapshot	prior_production_target_partial_or_planned
ENSG00000284848		prior_production_target_attempt_snapshot	prior_production_target_completed
ENSG00000285492	AL356417.3	human_trial52_longest	long_query_segmented_development_panel
ENSG00000285517	AC010198.2	human_trial52_longest	long_query_segmented_development_panel
ENSG00000285756	BX890604.1	human_trial52_longest	long_query_segmented_development_panel
ENSG00000286021	LINC02822	human_trial52_longest	long_query_segmented_development_panel
ENSG00000286071	AL136171.2	human_trial52_longest	long_query_segmented_development_panel
ENSG00000286125	AC006115.2	human_trial52_longest	long_query_segmented_development_panel
ENSG00000286217	LINC00279	human_trial52_longest	long_query_segmented_development_panel
ENSG00000286346		prior_production_target_attempt_snapshot	prior_production_target_partial_or_planned
ENSG00000287277	AL392086.3	human_trial52_longest,prior_production_target_attempt_snapshot	long_query_segmented_development_panel,prior_production_target_completed
ENSG00000287516		prior_production_target_attempt_snapshot	prior_production_target_partial_or_planned
ENSG00000287647		prior_production_target_attempt_snapshot	prior_production_target_partial_or_planned
ENSG00000287719	AP001531.1	segment_grid_consistency	segment_grid_development_panel
