stage	workload_id	gene_id	target_artifact_id	target_path	target_length_bp	arm	repeat	scientific_sample	authorization
fresh_full_promoter_panel	fresh_ENSG00000246090_full_concat	ENSG00000246090	logical_full_concat	/data/wenyujianData/linjieData/promoter_sequences/human_GRCh38_GENCODE_v33_genes20cells_tss_promoters_v1/promoter_components_concat.fa	164917643	baseline	1	1	pending_shake_down_gate
fresh_full_promoter_panel	fresh_ENSG00000246090_full_concat	ENSG00000246090	logical_full_concat	/data/wenyujianData/linjieData/promoter_sequences/human_GRCh38_GENCODE_v33_genes20cells_tss_promoters_v1/promoter_components_concat.fa	164917643	candidate	1	1	pending_shake_down_gate
fresh_full_promoter_panel	fresh_ENSG00000246090_full_concat	ENSG00000246090	logical_full_concat	/data/wenyujianData/linjieData/promoter_sequences/human_GRCh38_GENCODE_v33_genes20cells_tss_promoters_v1/promoter_components_concat.fa	164917643	baseline	2	1	pending_shake_down_gate
fresh_full_promoter_panel	fresh_ENSG00000246090_full_concat	ENSG00000246090	logical_full_concat	/data/wenyujianData/linjieData/promoter_sequences/human_GRCh38_GENCODE_v33_genes20cells_tss_promoters_v1/promoter_components_concat.fa	164917643	candidate	2	1	pending_shake_down_gate
fresh_full_promoter_panel	fresh_ENSG00000246090_full_concat	ENSG00000246090	logical_full_concat	/data/wenyujianData/linjieData/promoter_sequences/human_GRCh38_GENCODE_v33_genes20cells_tss_promoters_v1/promoter_components_concat.fa	164917643	baseline	3	1	pending_shake_down_gate
fresh_full_promoter_panel	fresh_ENSG00000246090_full_concat	ENSG00000246090	logical_full_concat	/data/wenyujianData/linjieData/promoter_sequences/human_GRCh38_GENCODE_v33_genes20cells_tss_promoters_v1/promoter_components_concat.fa	164917643	candidate	3	1	pending_shake_down_gate
fresh_full_promoter_panel	fresh_ENSG00000269086_full_concat	ENSG00000269086	logical_full_concat	/data/wenyujianData/linjieData/promoter_sequences/human_GRCh38_GENCODE_v33_genes20cells_tss_promoters_v1/promoter_components_concat.fa	164917643	baseline	1	1	pending_shake_down_gate
fresh_full_promoter_panel	fresh_ENSG00000269086_full_concat	ENSG00000269086	logical_full_concat	/data/wenyujianData/linjieData/promoter_sequences/human_GRCh38_GENCODE_v33_genes20cells_tss_promoters_v1/promoter_components_concat.fa	164917643	candidate	1	1	pending_shake_down_gate
fresh_full_promoter_panel	fresh_ENSG00000269086_full_concat	ENSG00000269086	logical_full_concat	/data/wenyujianData/linjieData/promoter_sequences/human_GRCh38_GENCODE_v33_genes20cells_tss_promoters_v1/promoter_components_concat.fa	164917643	baseline	2	1	pending_shake_down_gate
fresh_full_promoter_panel	fresh_ENSG00000269086_full_concat	ENSG00000269086	logical_full_concat	/data/wenyujianData/linjieData/promoter_sequences/human_GRCh38_GENCODE_v33_genes20cells_tss_promoters_v1/promoter_components_concat.fa	164917643	candidate	2	1	pending_shake_down_gate
fresh_full_promoter_panel	fresh_ENSG00000269086_full_concat	ENSG00000269086	logical_full_concat	/data/wenyujianData/linjieData/promoter_sequences/human_GRCh38_GENCODE_v33_genes20cells_tss_promoters_v1/promoter_components_concat.fa	164917643	baseline	3	1	pending_shake_down_gate
fresh_full_promoter_panel	fresh_ENSG00000269086_full_concat	ENSG00000269086	logical_full_concat	/data/wenyujianData/linjieData/promoter_sequences/human_GRCh38_GENCODE_v33_genes20cells_tss_promoters_v1/promoter_components_concat.fa	164917643	candidate	3	1	pending_shake_down_gate
fresh_full_promoter_panel	fresh_ENSG00000254319_full_concat	ENSG00000254319	logical_full_concat	/data/wenyujianData/linjieData/promoter_sequences/human_GRCh38_GENCODE_v33_genes20cells_tss_promoters_v1/promoter_components_concat.fa	164917643	baseline	1	1	pending_shake_down_gate
fresh_full_promoter_panel	fresh_ENSG00000254319_full_concat	ENSG00000254319	logical_full_concat	/data/wenyujianData/linjieData/promoter_sequences/human_GRCh38_GENCODE_v33_genes20cells_tss_promoters_v1/promoter_components_concat.fa	164917643	candidate	1	1	pending_shake_down_gate
fresh_full_promoter_panel	fresh_ENSG00000254319_full_concat	ENSG00000254319	logical_full_concat	/data/wenyujianData/linjieData/promoter_sequences/human_GRCh38_GENCODE_v33_genes20cells_tss_promoters_v1/promoter_components_concat.fa	164917643	baseline	2	1	pending_shake_down_gate
fresh_full_promoter_panel	fresh_ENSG00000254319_full_concat	ENSG00000254319	logical_full_concat	/data/wenyujianData/linjieData/promoter_sequences/human_GRCh38_GENCODE_v33_genes20cells_tss_promoters_v1/promoter_components_concat.fa	164917643	candidate	2	1	pending_shake_down_gate
fresh_full_promoter_panel	fresh_ENSG00000254319_full_concat	ENSG00000254319	logical_full_concat	/data/wenyujianData/linjieData/promoter_sequences/human_GRCh38_GENCODE_v33_genes20cells_tss_promoters_v1/promoter_components_concat.fa	164917643	baseline	3	1	pending_shake_down_gate
fresh_full_promoter_panel	fresh_ENSG00000254319_full_concat	ENSG00000254319	logical_full_concat	/data/wenyujianData/linjieData/promoter_sequences/human_GRCh38_GENCODE_v33_genes20cells_tss_promoters_v1/promoter_components_concat.fa	164917643	candidate	3	1	pending_shake_down_gate
fresh_full_promoter_panel	fresh_ENSG00000241316_full_concat	ENSG00000241316	logical_full_concat	/data/wenyujianData/linjieData/promoter_sequences/human_GRCh38_GENCODE_v33_genes20cells_tss_promoters_v1/promoter_components_concat.fa	164917643	baseline	1	1	pending_shake_down_gate
fresh_full_promoter_panel	fresh_ENSG00000241316_full_concat	ENSG00000241316	logical_full_concat	/data/wenyujianData/linjieData/promoter_sequences/human_GRCh38_GENCODE_v33_genes20cells_tss_promoters_v1/promoter_components_concat.fa	164917643	candidate	1	1	pending_shake_down_gate
fresh_full_promoter_panel	fresh_ENSG00000241316_full_concat	ENSG00000241316	logical_full_concat	/data/wenyujianData/linjieData/promoter_sequences/human_GRCh38_GENCODE_v33_genes20cells_tss_promoters_v1/promoter_components_concat.fa	164917643	baseline	2	1	pending_shake_down_gate
fresh_full_promoter_panel	fresh_ENSG00000241316_full_concat	ENSG00000241316	logical_full_concat	/data/wenyujianData/linjieData/promoter_sequences/human_GRCh38_GENCODE_v33_genes20cells_tss_promoters_v1/promoter_components_concat.fa	164917643	candidate	2	1	pending_shake_down_gate
fresh_full_promoter_panel	fresh_ENSG00000241316_full_concat	ENSG00000241316	logical_full_concat	/data/wenyujianData/linjieData/promoter_sequences/human_GRCh38_GENCODE_v33_genes20cells_tss_promoters_v1/promoter_components_concat.fa	164917643	baseline	3	1	pending_shake_down_gate
fresh_full_promoter_panel	fresh_ENSG00000241316_full_concat	ENSG00000241316	logical_full_concat	/data/wenyujianData/linjieData/promoter_sequences/human_GRCh38_GENCODE_v33_genes20cells_tss_promoters_v1/promoter_components_concat.fa	164917643	candidate	3	1	pending_shake_down_gate
